,아이디,댓글 내용,댓글 시간
54,  쌍트데,스트리밍도 해줘요 형들ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋzㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4년 전
55,  우우,ㅋㅋㅋㅋㅋㅋㅋㅋ컨셉 멋있어요 딱 필요한거네,4년 전
56,  배고파,겁내 매력적이야 컨셉도 그렇고 목소리도 그렇고 바로 구독누릅니땨~,4년 전
57,  ㅍ,데드행이랑 효과가 다른건가요?,4년 전
58,  김재혁,진짜 첨보는데 너무 좋다,4년 전
59,  김효진,철봉에 매달리는 것도 같은 효과를 낼 수 있을까요? 혼자라서...,4년 전
60,  데프로마시옹,"이거정말좋아, 정말좋아",4년 전
61,  First name Last name,혼자할 수 있는 스트레칭 방법도 부탁드립니다. 그리고 왼쪽 목 근육이 (귀렁 턱 뼈 사이 아래 근육) 무지 아파서 고개를 오른쪽 눕히기 힘들어요. 왼쪽도 좀 아프고요. 그 전에는 심한 두통이랑 속 울렁거림 그리고 구토 증세도 있었는데 지금은 다 괜찮은데 여전히 위에 말한 분위 근육이랑 뒷목이 아픈데 평소 자세랑 잘 때 잘 못된 자세로 자서 그런거 아닌가 싶은데 혼자 자주 할 수 있는 스트레칭이나 운동 없을까요?,4년 전
62,  Joo Ch,혼자서 하려면 철봉에 매달려 있는 것 하고 효과가 비슷한가요?,4년 전
63,  블랙벨,운동영상이 부족한듯한데 스퀏 데드같은거좀 올려주세요,3년 전
64,  Ashim Credeor,혹시 탈모를 치료하는 스트레칭은 없나요 ㅜㅜ,4년 전
65,  거품이가치,해봐야 겠네요. 추천합니다. ㅎ,4년 전
66,  Brave New World,이젠 아예 제작하시는군요!! ㅋㅋ,4년 전
67,  에클랑,와!!  아저씨 이제 리얼타임이시네요!!반가워요오!!,4년 전
68,  이영광,철봉에 매달려서 스트레칭하는거랑 같은원리네욥~~!!♡,4년 전
69,  이준범,형 저 이거 12주동안 매일 조금씩 영상 찍어서 12주뒤에before after제 유튜브에 올려도 되요??,3년 전
70,  쿠쿠,혼자서 하는 스트레칭 영상은 없나요?,4년 전
71,  Y Kim,안 지루해서 좋아요,4년 전
72,  HYUNWOO SHIM,미쳤다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 리얼 빡빡이 아저씨로 돌아오셨네요,4년 전
73,  Kia Ora,어깨가 라운드숄더인데도 불구하고 습관성탈구가 있으면 어떡하죠? 저자세는 탈구환자들은 상당히 불안정해 보이는데요ㅠㅠ,4년 전
74,  Ki Ho Kwon,중독성 짱,4년 전
75,  반짝,오진짜시원해보인당ㅎㅎㅎ,4년 전
76,  정의정,승모근 없애는 스트레칭도 알려주세요 빡빡이 아저씨 ㅠㅠ빡빡이 아저씨가 올려주는 스트레칭이 레알 최곤데ㅠㅠㅠ,4년 전
77,  이222,족저근막염도 해주세요~~,4년 전
78,  Dong-wook Kim,정말좋아 이거 정말~좋다구~!,4년 전
79,  김동욱,전완근만봐도 몸이 좋다는게 느꺼지네..ㄸ,4년 전
80,  케이미Kaymee,여름에 더워지면 힘드실까봐 맨얼굴 커밍아웃을 조심스레 건의합니다. ㅎ,4년 전
81,  plz Korean,"진짜 궁금한게 있는데요, 가끔 운동선수인 친구들이 저를 등이 위로오게 눕혀놓고  등부터 골반까지 내려오면서 천천히 꾹꾹 눌러주면 우두두둑 소리가 나면서 시원해지는데 이거 괜찮은건가요? 친구들 말로는 너무 많이하면 오히려 안좋다고는 하는데 이게 어떤 기능을 하며 왜 많이하면 안좋은지 궁금합니다",4년 전
82,  Dr.라마,좋은정보감사합니다재미있네요 ㅋㅋ구독하고감니다.,4년 전
83,  퇴근시간,철봉에 매달리면 되는거 아닌가요??,4년 전
84,  소찬휘,아 진짜 형님 너무 좋습니다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4년 전
85,  구성욱,머리스타일은 절에 가실 거 같은데 ㅋㅋ잘 보고 가요~,4년 전
86,  하정식,혹시 골반 교정 스트레칭도 해줄수있나요??,3년 전
87,  신밧드좋아,앜 ㅋㅋㅋㅋ이게 뭐야! 너무 실용적이면서 너무 재밌어 ㅋㅋㅋ,4년 전
88,  hyun song,좋은 정보 감사합니다..........,4년 전
89,  은짱,헐...직접 빡빡이 아저씨가 되엇군요....잘보고갑니다 ㅎㅎ,4년 전
90,  Gadget Seoul,옴마나 리얼 꿀팁 + 꿀잼 ㅋㅋㅋㅋㅋ,4년 전
91,  멍,알기쉽게 설명해주셔서 너무 좋고 영상 보느내내 웃음이 가지않아욬ㅋㅋㅋㅋ감사해욬ㅋㅋㅋㅋ,4년 전
92,  구니goonie,혼자서는 저 스트레칭 어떻게 하나요? ㅠㅜ,4년 전
93,  NASDAQ KIM,1년 콘텐츠네요? 오늘 첨 봤는데 여전히 핫하고 좋은 정보입니다!!! 집에서도 해보고싶은데 푹신한 침대에서 해도 될지 모르겠네요?,3년 전(수정됨)
94,  sugangbuso,보기만해도 시원한듯. .,4년 전
95,  John Park,패트와 매트 실사판 같다ㅋㅋ,4년 전
96,  므므,빡빡이아저씨 철봉을 사용한 척추측만증에 도움되는 스트레칭 없나요??,4년 전
97,  kyu man Rho,내가 보통 구독 해달라고 해도 안끌리면 잘 안하는데 3초가 지났을 때 구독을 누르고있었다...,4년 전
98,  Amber Yang,혹시.. 제가 근막통증증후군이라고.. 만세가 안되는 어깨통증이 있는데 이런거 풀어줄 자세도 있을까요? 혼자 가능한 스트레칭으로요!,4년 전
99,  ᄋᄋ,궁금한점이 철봉에 매달려있는거랑 차 이 있나요,3년 전
100,  종성종성,형 그냥 철봉에 매달려서 해도 도ㅑ요??,4년 전
101,  milk Buddy,철봉에 매달리는건 어떨까요? 많이 다른 가요?,3년 전
102,  고구마피자,"와 ㅋㅋㅋㅋㅋㅋㅋㅋ 실제 얼굴인지 알고 참 희한한 스타일이네 하고 신기하게 바라봤는데, 가면이었어 ㅋㅋㅋㅋㅋㅋ컨셉 죽이네요!!",4년 전(수정됨)
103,  actiniag,와~ 도와주는 사람 한명만 있으면 되는 간단한 스트레칭이네요!,4년 전
104,  강종성,겁나시원하겠다...,4년 전
105,  바비사랑,독특하게 끌려. 귀에 쏙쏙,4년 전
106,  이름,등이 판판한데 굽은등에 라운드숄더까지 있는 거 같은데 교정하려면 굽은등이 먼저인가요 일자등이 먼저인가요???,4년 전
107,  신동갑,가면쓴줄알았엌ㅋㅋㅋㅋㅋㅋㅋㅋ 입 되게 정교하다 이러고 있었넼ㅋㅋㅋㅋ,4년 전
108,  Chris SukYong Jang,"철봉 매달리기, 한 손으로 매달리기 한쪽씩 하면 더 효과적일 것 같네요?",3년 전
109,  방콕아줌마,매일 올려주시네요. 감사합니다ㅎㅎ,4년 전
110,  woodosa,운동하시나보네요 몸이 상당히 좋으시네,4년 전
111,  정인성,가면 진짜 자연스럽다...,4년 전
112,  Hobby and wolf,아 존나 웃기네ㅋㅋㅋ 미치겠다 이형,4년 전
113,  Junhyeok Woo,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이게 뭐약ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전 영상보고 뭔가 싶었는데 직접 분장이라닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 빡빡이 아저씨는 사랑이에요 ㅎ,4년 전
114,  남몽,진심 친절하심~♡,4년 전
115,  Union DNA,공중파 타도 될만한 컨셉이다 ㅋㅋㅋ,4년 전
116,  곽주원,와 이거 동작들이 도수치료 받을때 마지막에 기계로 하는거랑 똑같다ㅋㅋㅋㅋ,2년 전
117,  jj eodydfid,아니 이거 레알 신빙성있는 스트레칭이예요??? 헷갈려ㅋㅋㅋㅋ,4년 전
118,  김선정,왜 그렇게 되는 지 알려주실 수 있으신가요?,4년 전
119,  바니,메인에있던 잘생긴 총각은 어디가고대머리 아저씨둘이,4년 전
120,  경자언니,푸하하 넘 좋은 정보인데 재미나기까지하네요ㅋㅋ 감사합니다,4년 전
121,  jangpaul96,처음보는데 재밌네요 ㅋㅋ,4년 전
122,  매일,헐...뭐지 이 변태인듯아닌듯한 아저씨들...중독된다...,4년 전
123,  삐약,이제 직접 하시네요 ㅋㅋㅋㅋ 구독하고가요,4년 전
124,  강성문,시작하자마자 터졌네 ㅋㅋㅋㅋㅋㅋㅋ,4년 전
125,  곽철용,아니 제발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ알람도 켯다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4년 전
126,  정여훈,뼛소리나는 카이로프랙틱이 정말효과잇는건지에대해서도 언제한번 다뤄주실수있나요? 부탁드립니다!,3년 전
127,  JVELY 제이블리,넘 재미있어요^^ 좋은 정보 감사합니다 좋아요 구독 다 누르고 갑니당~^^,4년 전
128,  S W,혼자 할 수 있는 스트레칭은 없을 까요??,3년 전
129,  1 2,ㅋㅋㅋㅋ재밋게잘봤습니다 감사합니다,4년 전
130,  나랄랄라,아 진짜 얼굴이 아니라 마스크네요 진짜 싱기,4년 전
131,  김용학,...같이 할 친구가 없어서 혼자 기지개 켜면서 하아아. 스으읍 하아아.,4년 전
132,  하늘,이게 철봉 매달리거나 풀오버랑 어떻게 다른건가요?,4년 전
133,  jusoi je,빡 빡 이 쌤 저 바닥에서 좌식생활하는데 좌식 의자 써도 될까요..(아직 안샀어요) 저는 항상 허리가 너무 아파요.. ㅠ (스쿼드 하면 좀 나아서 허리 아프면 운동 해요.. ㅎㅎ),4년 전
134,  MCG Tommy,ㄹㅇ 외계인같은 이질감..,4년 전
135,  도리수리,뭐지 이 엄청난 컨셉...,4년 전
136,  유성태,새로운 빡빡이 아저씨가 오시고 더재밋어진거 같네요 영상에좋은 정보를 흐트리지는않게하는선에서 영상을재밋게 해주시는걸보면은 정말 밸런스를 잘맞추시는거 같아요,4년 전(수정됨)
137,  나경만,ㅋㅋㅋㅋㅋㅋㅋ 유익한 정보 재미있게 얻어갑니다.,4년 전
138,  김부용,음성을 따로 녹음하는게 더 웃길거 같음ㅋㅋㅋㅋ,4년 전
139,  Yun,형 거마워오 근데 혼자 살면 셀프로 하는 방법은 없나여?,2년 전
140,  존 스노우,와 더빙 싱크로 엄청나네요 ㅋㅋㅋㅋ 마치 본인이 하는거같아요 대박 ㅋㅋ,4년 전
141,  신은규,말투 재밌네요 구독좋아요 하겠습니다 혼자할 수 있는 방법도 있을지 궁금하네요,4년 전
142,  HELP ME,대머리독수리의 싸움잘하는법같아ㅋㅋㅋㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋ,4년 전(수정됨)
143,  한태성,교회에 가야되기때문엨ㅋㅋㅋㅋㅋ짧고 굵은서 더 좋은 영상이네요! 좋은정보 감사합니다,4년 전
144,  까스돈,여태 본 채널 중에 가장 유익한 채널..,3년 전
145,  Junho Manda,혼자 할수있는 스트레칭은 없나요?,3년 전
146,  신현지,...중독성있단 말야 이오빠,4년 전
147,  데프로마시옹,예전에그맛은아니지만 ㅋㅋㅋ그래도빡빡이아저씨코스프레라도좋아 ㅋㅋ,4년 전
148,  Olivia's PaPa,이 형들 진짜 웃긴다 ㅋㅋㅋ,4년 전
149,  uri son,더빙 진짜잘됐네요!ㅋㅋ,4년 전
150,  야미야미 yori yummy,구독 좋아요 ! 완료 ㅋㅋㅋ 골반교정도 부탁해요!!!,4년 전
151,  하나된 대한민국,재밌는양반일세~~ㅋㅋ지나가다 구독누르고 갑니다~~,4년 전
152,  swings mood,하나 보고 바로 구독한건 처음...,4년 전
153,  강자윤,불굨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4년 전
154,  Seungse Yim,침대같은곳에서 하는게 아니라 매트리스 깔린 땅바닥에 누워서 다른사람이 손목을 잡고 그냥 당겨줘도 스트레칭이 잘 될까요?,3년 전
155,  Joey,뭔지모르고 빠악빠기아저씨야 할때부터 엄청난기운받고 좋아요 구독 걸고 영상봅니다! ㅋㅋㅋ,4년 전
156,  Rim,ㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ눈을 의심했다ㅋㅋㅋㅋㅋㅋㅋㅋ 예전 아저씨가 한국말 하시는 건줄ㅋㅋㅋㅋㅋ,4년 전
157,  King Kman,이 친구는 댄. 아주 귀엽고 순-수한 친구지.미치겠다 진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ스트레칭 영상이 아니라 웃긴 영상이다 이거는 ㅋㅋㅋㅋㅋㅋㅋ,4년 전
158,  cheolu bak,ㅋㅋㅋㅋ 글안남기는데 좋아요 구독 하기 했어요 ㅋㅋㅋ 자주 볼께여!!,4년 전
159,  미안오빠지금바뿌거든,탈모화된 박명수와 미쓰라진!,4년 전
160,  Yunghee Lee,졸라웃니게ㅋㅋㅋㅋ내용도 잼나고ㅋㅋㅋ,4년 전
161,  이준혁,ㅋㅋㅋㅋㅋㅋㅋ말투 개좋다 구독안할수가옶네,4년 전
162,  kjh,이분 노력상 줘야한다 빡빡이 아저씨 영상 못가져오니깐 직접 빡빡이 아저씨가 되셨네 ㅋㅋ,4년 전
163,  수현,집에서 하기쉬운 (등)뭉친근육 풀어주는 영상좀 올려주세요,2년 전
164,  턱걸이 맹연습,혼자 할 수 있는 방법은 없을까요?,4년 전
165,  IlIlllIIIlllIIIl,1:00 부터 빡빡이형님 목 자세히봐보삼 ㅋㅋㅋ ㅈㄴ 쭈글쭈글한게 마스크인거 확실 ㅋㅋ,3년 전
166,  Sangwon Yun,빡빡이 아저씨 ..교통사고로 허리 안좋을때 밀리터리 플레스 하다가 척추 한쪽이 주저앉는 느낌과 통증으로 고생 했는데 나중에보니 척추측만이 온거 같은데...그것도 모르고 주짓수하고 노가다도 하다보니 디스크 3개 터졌다는 진단 받고 좀 쉬니 이제 좀 통증이 없어요...척추교정 운동 하려면 어떤게 좋을까요??,3년 전(수정됨)
167,  사랑이,집에서 혼자 할수 있는 굽은등 라운드숄더는 없나요? 있다면 올려주세요... 혼자서도 할수 있는 방법으로...,4년 전
168,  조각모음,왠지 저방은 들어갈때는 마음대로지만 나갈땐 그렇지 못할것같군..,4년 전
169,  12 0.,이 형님은 더 뜨셔야 한다,3년 전
170,  장동현,평발로 인해서 x자 다리여서 수술을 했어요.수술한뒤 의사선생님이 재활이  필요하다고 얘기를 안하고 지금은 근육이 너무 없어 걷기도 힘든 상황입니다.도와주세요!,3년 전
171,  율지서,와이프랑 해봤는대 와이프가 딸려와요 ㅠㅠ,4년 전
172,  ᄋᄋ,아니 이분 영상 처음보는데 시작부터 웃음벨 오지게 누르고 진행하시네 자신감있게 ㅃㅃㅇ 아저씨야 빵터졌자너,4년 전
173,  기본기,미래일기:더욱더 리얼리티를 살리기위해 빡빡이아저씨가 탈을 벗고 머리를 밀고 방송에나오게되는데.....,4년 전(수정됨)
174,  dailyjung,혼자서는 어떡게 해요??,3년 전
175,  말하는메기,빡빡이 아저씨  정지먹고 직접 빡빡이 아저씨 되기 멋져용!!ㅋㅋㅋㅋㅋㅋ,4년 전
176,  일러튜브,빡빡이형 이거 철봉 매달려있어도 똑같은거양?,4년 전
177,  이호야,지금 빡빡이  아저씨가 져~엉~말 좋아~ 져엉~ 말 져아~~,4년 전
178,  sunny park,빡빡이 아저씨...ㅋㅋㅋ 덥지 않으세요? ㅎㅎㅎ잘보고 갑니당.,4년 전
179,  Xiumin,아니 누가 빡빡이아저씨 웃긴영상 모음집 만들어주면 안되냐ㅠㅠㅠㅠㅜㅠㅠ,4년 전
180,  캔디,보기만해도 쉬원해 보임,3년 전(수정됨)
181,  소정,울아빠한테 해주고 싶은데 집에는 침구나 쇼파 같은 누워서 허리밸트를 잡을 높이가 없는데 어디서 해야 할까요..바닥에 누워도 그냥 팔목을 잡아당기면 될까요?,3년 전
182,  희형우,오목가슴에 대해서도 해주실수잇나요?,3년 전
183,  HJ K,직접찍기시작했다 ㅋㅋㅋㅋ,4년 전
184,  ㅍ,고마워요 빡빡이!!,4년 전
185,  무테,와씨 왜 이렇게 인조적으로 생겼지 무섭네 이랬는 데 알고보니 복면이구만 엄청난 반전을 알아버린 이기분,4년 전
186,  장jina,거꾸리효과같은건가요?ㅎ,4년 전
187,  세연장은주,ㅎㅎ좋은자료 감사합니다,4년 전
188,  미한샤,와 겁나 짧아 개좋아,4년 전
189,  Yoon Lee,ㅋㅋㅋ 빡빡이 아저씨 몸이.. 디게좋네...?,4년 전
190,  도마뱀목도리,귀엽고 순수한 친구분 선글라스가 잘 어울리시는군요,4년 전
191,  Sumin Lee,컨셉에 취향 저격 당하고 구독 누르고 갑니다 ㅋㅋㅋㅋㅋㅋㅋ,4년 전
192,  Jack마이클,도와주는 사람 등이 굽어지네요.,4년 전
193,  Soyeong Lee,"아.. 완벽하고 깔끔한 머머리 아저씨들인줄 알았는데,, 아니었구나",4년 전
194,  KIm Hyoeun,아니 혼모노 아싸 인생 혼자사는데 어떻게하라는겁니까!!!,4년 전
195,  Caspian,헙....ㅋㅋ 인재일세...왜 의사를 안하시는지 의문이로군요. 뭐 의사보다 이렇게 유튜브로 올려주시게 더 재밌게 유익합니다 ㅎㅎ 앞으로도 부탁헤요 빡빡이 아저씨~^^,4년 전
196,  김미친놈,되게 좋고 재밌는 영상이네 ㅋㅋㅋㅋㅋㅋ,4년 전
197,  정현택,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 안녕친구들에서 엄청웃었네요 ㅋㅋㅋ 생각도못했다 ㅋㅋㅋㅋ 고마워요,4년 전
198,  Xanny,혼자 할 수 있는 방법도 있나요?,3년 전
199,  이원우,혼자 할수 잇는건 없나요??,4년 전
200,  이정현,브룩 침투력 끝내준다 ㅋㅋㅋㅋㅋㅋ,4년 전
201,  하루,빡빡이 아죠시 더빙이 아니라 직접 빡빡이 아죠시로 변하셨네요ㅋㅋㅋ,4년 전
202,  Bluestar 2744,엄청 웃기고 재미있고 유익하네요.ㅎㅎ,3년 전
203,  팬돌,최고 !! ㅋㅋㅋ,4년 전
204,  Hyunwoo Kim,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 직접 빡빡이아저씨가 되셨군욬ㅋㅋㅋ 맨첨엔 cg줄 알았어여 ㅋㅋㅋㅋㅋ 몸 좋은걸 보니 저번 영상 복근도 직접 찍으신건가염...??,4년 전
