,title,view,upload_date
20,신의영역 '라운드숄더+거북목' 제가 도전합니다 [셀프 근막이완 마사지+스트레칭],92만회,2년 전
21,"[목, 어깨, 등 통증 완화 10분 운동법]  승모근 스트레칭 및 거북목, 라운드숄더 완화! 물리치료사와 함께해요",85만회,2년 전
22,"하루 3세트 라운드숄더, 굽은등 교정 운동법 (거북목 원인 잡기)",73만회,2년 전
23,"하루 10분만 하세요👌🏻어깨가 마법같이 편해집니다ㅣ라운드숄더, 어깨소리, 어깨통증, 팔이안올라갈때",68만회,6개월 전
24,운동 백날해도 '어깨 안넓어지는' 진짜 이유?! (숨겨진 프레임 찾는 쳐진어깨/하견 해결법!),63만회,1개월 전
25,"라운드숄더나 어깨통증이 있는 분들이 제일 이해 못하는 동작, 날개뼈 뒤집기‼️",61만회,1년 전
26,"라운드 숄더, 오십견, 거북목, 굽은 등 교정! 등살빼기 (일주일만 해보세요)",58만회,10개월 전
27,이거 하나면 다이어트/굽은허리/라운드숄더 도움(허리통증 없음) 헬스장 기구 사용법 등운동편,57만회,3년 전
28,"MZ세대 코어 특징 (거북목, 라운드숄더 코어운동)",48만회,1개월 전
29,라운드숄더+보컬트레이닝을 한번에 #shorts #youtubeshorts,48만회,4개월 전
30,"진짜로 가슴 커지는! 현실적인 운동방법 [가슴운동,라운드숄더]",45만회,1개월 전
31,"말린 어깨, 둥근 어깨, 라운드 숄더 이렇게 한번 해보세요.",45만회,4개월 전
32,라운드 숄더 10초만 이렇게 해보세요 | 그리고 절대 어깨 펴지 마세요,44만회,5개월 전
33,1분만에 라운드숄더 교정이 가능할까? ｜어깨 소흉근 스트레칭｜자생한방병원,42만회,2년 전
34,"""굽은 어깨 때문에 어깨가 좁아보여요.."" 라운드 숄더를 위한 스트레칭!",39만회,3년 전
35,아직도 가슴운동 안하는 여자분 있나요? 다이어트와 라운드숄더에 효과적인 체스트프레스,38만회,3년 전
36,"라운드숄더 교정운동 -) 중부승모근, 하부승모근, 전거근, 삼두근, 회전근개",38만회,2년 전
37,굽은등 거북목 라운드숄더 간단 10분 도수치료 풀버전 adjust 우두둑 교정치료 뼈소리 Thrust chiropractic osteopathy,35만회,3년 전
38,과학적으로 '굽은 등'을 펴서 '넓은 상체 프레임'을 만드는 가장 빠른 방법!? [라운드 숄더 교정 루틴],29만회,2개월 전
39,30초만 해도 효과 보는 라운드숄더(굽은 등) 스트레칭,27만회,3년 전
40,거북목 + 라운드숄더 쉽게 교정하기,27만회,3년 전
41,"하루 10분만 하세요👌🏻어깨와 골반이 거짓말처럼 편해집니다ㅣ한쪽어깨라운드숄더, 어깨비대칭, 체형불균형, 골반불균형",26만회,5개월 전
42,"[실속2분팁] 라운드숄더,쳐진 어깨?? 이 운동으로 교정 시작해보자 (정말 쉬움)",25만회,3년 전
43,[소리주의] 여자 아이돌 라운드숄더 고쳐주기 | with. 조현영,25만회,5개월 전
44,라운드숄더와 거북목 있다면 필수시청! 사이드 레터럴 레이즈 승모근 개입없이 하는법,24만회,3년 전
45,라운드숄더는 주목! 팔과 어깨 통증 잡는 스트레칭,24만회,2년 전
46,비명소리 만큼 시원한 '거북목+라운드숄더' 근막이완 루틴!,18만회,1년 전
47,라운드숄더 교정의 핵심근육! 대흉근 쉽게 푸는 방법💪 #shorts,16만회,2개월 전
48,라운드숄더 ➡️ 직각어깨로 만들어 주는 운동 [후면어깨 리버스 팩덱플라이],16만회,11개월 전
49,한쪽어깨만 라운드숄더가 되어 있는 분들을 위한 아주 간단한 밸런스 운동,15만회,1년 전
50,인생이 달라지는 굽은 어깨 교정법 ㅣ메루치교정소 (라운드숄더),15만회,1년 전
51,"누구나 위험한 현대인의 병 '라운드 숄더'  | 어깨 통증, 말린 어깨, 굽은 등 개선하기",15만회,5개월 전
52,"라운드숄더 한동작으로  해결하기 (Feat. 상반신 전체 스트레칭, 신경가동술)",15만회,2년 전
53,"라운드 숄더, 허리통증, 등살을 한번에 해결하는 마법의 동작",14만회,4개월 전
54,현업 종사자도 모르는 라운드 숄더 교정 팁 / 이거 아는사람 진짜 극소수!,13만회,2년 전
55,"라운드숄더, 거북목, 일자목 스스로 교정하기 / 따라하기 쉽게 만들어봤습니다.",13만회,2년 전
56,"어깨충돌증후군 운동과 치료법, 라운드숄더 교정운동",13만회,2년 전
57,거북목(Forward Head) & 라운드숄더(Round Shoulder) 교정 방법 [지피티 TV],13만회,4년 전
58,"주말의 홈트 | 이가영의 올리비아 요가, ‘굽은등 라운드숄더에 좋은 스트레칭’",12만회,2년 전
59,"나는 라운드숄더 몇단계 일까? ⚠ (feat. 라운드숄더 자가진단, 교정운동, 금지사항)",11만회,2년 전
60,"딱30초, 초.간.단 라운드 숄더 교정운동 Best4",11만회,1개월 전
61,라운드 숄더 4동작 자가체크,11만회,3년 전
62,"라운드숄더, 거북목 “이 스트레칭” 하지마세요❌ (이렇게 안하실거면🤦🏻‍♀️)",11만회,11개월 전
63,라운드 숄더 교정 거북목 교정 운동 [목어깨통증의 3대주적 두번째],11만회,3년 전
64,"5분으로 라운드 숄더 교정? 뻥치네! / 물리치료사가 알려주는 라운드숄더의 모든 것(정의 접근법 ,운동법)",10만회,2년 전
65,"말린 어깨를 펴주고, 어깨를 넓히는 가장 빠른 방법!? (feat. 라운드 숄더, 굽은 등, 교정운동)",10만회,3개월 전
66,"어깨통증의 원인 '라운드숄더' 교정하는 요가 | 어깨 스트레칭, 굽은어깨 교정운동",9.3만회,2개월 전
67,[어깨교정] 라운드숄더를 교정하는 대흉근&소흉근 스트레칭,9만회,1년 전
68,"30초만에 라운드 숄더 교정하는 법 (#굽은어깨, #거북목 #shorts )",8.7만회,2개월 전
69,라운드 숄더 ?? 이 스트레칭을 따라해보세요 !!,8.5만회,1개월 전
70,라운드숄더 짬내서 펴주는 운동루틴1.,8.4만회,4년 전
71,라운드숄더와 거북목을 한번에 잡는 레전드 스트레칭 | 가슴이 커집니다 (중요) (Eng Sub),7.8만회,5개월 전
72,아...이래서 가슴펴지 말라고 하는구나...ㄷㄷ 어깨 말린분들(라운드숄더) 꼭 보세요!!!,7.8만회,22시간 전
73,"[찐의사]  라운드 숄더 쫙 펴주는 날개뼈 근육 이완 운동법은? | 건강함의 시작, 몸의 대화 body talk EP.6",6.7만회,2년 전
74,라운드 숄더와 굽은등은 '이것'이 없으면 절대 못 고칩니다,6.1만회,5개월 전
75,"거북목, 라운드숄더 자세교정을 위한 요가 | 체형교정 상체 스트레칭, 굽은등 교정운동",6만회,11개월 전
76,라운드숄더(굽은어깨 )후면 어깨 운동 어떻게 해야 하나? (플랫백/거북목),5.5만회,2년 전
77,라운드 숄더 한번에 해결하는 방법!,5.5만회,2개월 전
78,"[동구가 알려주는 요가]둥글게 말린 어깨, ‘라운드 숄더’ 교정 요가",5.5만회,1개월 전
79,3분의 기적ㅣ라운드 숄더를 해결하고 숨은 키를 되찾으세요✨,5.3만회,2년 전
80,라운드숄더 거북목 굽은등이 한 번에? 어깨통증 일으키는 라운드숄더 근본원인+해결방법,5.3만회,1년 전
81,❌라운드숄더라고 많이들 착각하는  ⭕️상완골두 전방활주 교정 방법,5.3만회,3개월 전
82,"'우울해보이는 라운드숄더' 딱  5분 ""자가진단 과 교정 스트레칭""",4.9만회,2년 전
83,"라운드숄더 있는 사람은 절대 못하는 동작, 제대로 된 Y-raise 운동",4.9만회,11개월 전
84,♨핫클립♨ ＂내가 라운드 숄더라고..?!＂ 목 디스크로 한의원에 간 백지영｜해방타운｜JTBC 211001 방송,4.8만회,1년 전
85,청담동식 라운드숄더 스트레칭,4.3만회,4개월 전
86,"거북목과 라운드숄더, 이 영상으로 고민 해결! 🙆‍♀️✨",4.2만회,9개월 전
87,"라운드 숄더 교정, 승모근 없애기, 어깨 통증과 뭉침, 턱관절 교정운동을 어깨 스트레칭으로 완벽 해결 (feat. 일자어깨, 체형교정, 승모근 강화, 거북목)",4.2만회,2년 전
88,"헬스장이 쉰다고!? 집에서 어깨충돌증후군, 라운드숄더 정복하기 x 홈트니스",4.1만회,2년 전
89,"최악의 수면자세! 제발 이렇게 자지 마세요 🚫 (라운드숄더, 굽은등, 거북목, 옆으로 tv보는 분)",4만회,1년 전
90,손 팔 저림? 목 디스크?? 라운드 숄더??? - 페인랩이 말하는 통증이야기,4만회,2년 전
91,[맥타]기적은 없지만 효과는 확실한 라운드숄더 탈출,3.9만회,3년 전
92,"굽은 어깨, 라운드 숄더처럼 보이나요⁉️  절대 아닙니다 ‼️ 상완골 전방활주",3.9만회,4주 전
93,라운드숄더 거북목 tip,4.3만회,2주 전
94,"넓은 어깨와 등을 만들어주는 '이 운동', 거북목 라운드숄더 보세요",3.2만회,2주 전
95,"골반 불균형, 라운드숄더, 외반주",3.1만회,3개월 전
96,라운드 숄더인 사람은 이 손목모양을 교정해야 하는이유 | 지금 당장 손목을 체크해 보세요!!!,2.9만회,10개월 전
97,"나만 알고싶은  거북목, 라운드숄더 교정 치트키 운동 공유해요",2.9만회,1개월 전
98,굽은 어깨 라운드숄더를 가졌다면 측면 어깨운동(사래레) 이렇게 해보세요,2.9만회,2년 전
99,"딱 5분, 라운드 숄더 · 굽은 등 교정에 정말 좋은 초간단 운동(거북목 · 목통증 · 어깨통증 · 등통증 · 두통에도 효과 대박)",2.6만회,1년 전
100,라운드 숄더 펴주는 가슴운동 루틴,2.6만회,1년 전
101,라운드숄더 1분 운동 #Shorts,2.5만회,5개월 전
102,라운드숄더 최고의 교정 스트레칭 / 브레첼,2.5만회,11일 전
103,"'푸쉬업' 라운드숄더, 거북목 체형은 이렇게 해보세요!",2.4만회,2년 전
104,"어깨통증, 라운드숄더 (굽은 어깨)에 효과적인 노머니 운동과 어깨충돌증후군 치료법",2.4만회,2년 전
105,굽은 등과 라운드 숄더를 위한 수건으로 롤 베개 만들기,2.4만회,7년 전
106,"어깨통증 스트레칭, 라운드숄더 완화운동, 척추 체형 교정운동과의 관계(feat 어깨를 지켜주는 핵심근육 3가지)",2.3만회,2년 전
107,라운드 숄더 때문에 등운동이 잘 안되는데 어쩌죠?!,2.2만회,1년 전
108,딱 10초만 해보세요.과학적으로 입증된 라운드 숄더 교정 운동,2.2만회,1년 전
109,신원범근육학.라운드숄더.거북목 관리 .대흉근,2.2만회,4년 전
110,"돌출어깨, 라운드숄더, 어깨통증, 팔저림, 가슴근육 통증의 스포츠 교정운동 및 확실한 손상예방(feat 팔이 저린 당신! 캥거루 어깨다!!)",2.2만회,1년 전
111,"난 왜 어지럽지? 거북목, 일자목, 라운드숄더, 척추측만증도 문제가 된다고?",2.1만회,7개월 전
112,라운드숄더(어깨말림)는 정말 가슴.등운동을 못할까?,2만회,1년 전
113,라운드숄더 확인하는 방법,2만회,1년 전
114,거북목 라운드 숄더 10년 뒤 내 모습 두렵지 않으신가요?,1.9만회,2년 전
115,효과적인 거북목 & 라운드숄더 스트레칭 및 교정운동 5가지,1.9만회,3년 전
116,라운드숄더 하루 5분만에 투자하세요‼️ /홈트레이닝/ 체향관리,1.8만회,1년 전
117,이걸 풀라고? 라운드숄더를 고치는 키포인트!,1.8만회,2년 전
118,[구독자 교정 피드백] 이런 상태를보고 라운드숄더와 익상견갑이라고 합니다.,1.8만회,6개월 전
119,무서운직업병. 척추측만증/라운드숄더 운동[5분운동],1.7만회,1년 전
120,거북목 일자목 라운드숄더 있는사람 대흉근 소흉근 스트레칭 부터 해야하는 이유 pectoralis major minor stretching for neck pain,1.7만회,4년 전
121,"라운드숄더 교정꿀팁, 트레이너의 트레이너 태근이형이 알려준다! ㅣ 태근이형 1편",1.6만회,2년 전
122,라운드숄더+굽은등+거북목 한꺼번에 교정하는 비법 대공개!,1.6만회,5년 전
123,청담동식 라운드숄더 스트레칭,1.6만회,10개월 전
124,라운드숄더로 그냥 덤벨프레스 하면 무조건 다칩니다..,1.5만회,1년 전
125,라운드숄더 목통증에 어깨밑근마사지하기!! -풀영상은 댓글확인👇 [디스이지도수]#shorts,1.5만회,2개월 전
126,"헬스장에서 가장 하기 쉬운 상체 모빌리티, 스트레칭!! | 굽은 등, 라운드 숄더 해결",1.5만회,3년 전
127,"굽은 등, 굽은 어깨 교정운동. 이것만 당기세요!/라운드숄더 교정운동",1.4만회,1년 전
128,어깨굽은사람? 라운드숄더라면 꼭 해야할 보조운동법 입니다  [키스톤쌤X김성환3편],1.3만회,1년 전
129,"거북목, 라운드숄더 체형에서 호흡할 때 어깨가 들리는 원리 (목통증, 승모근 뭉침 원인 넘버원)",1.2만회,2개월 전
130,거북목 라운드 숄더가 심한 힘콩이 하는 스트레칭은?? ( feat . 꼭 1주일만 따라해보세요!),1.2만회,2년 전
131,강남엄마 슬기로운 자녀교육 - 라운드숄더 방지법!! Exercise to Prevent Children's Round Shoulders,1.2만회,2년 전
132,"라운드숄더 교정운동의 최대피해자, 후면삼각근(오십견,충돌증후군)",1.2만회,8개월 전
133,라운드숄더와 어깨 전방활주증후군은 다르게 치료해야합니다!,1.1만회,5개월 전
134,체형교정 전문 의사가 알려주는 운동법 총정리! 라운드숄더 일자목 거북목 다 모여!  Best Ways to Improve Your Posture,1.1만회,2년 전
135,[그냥 따라해봐] 라운드숄더 5분 교정 루틴 스트레칭 & 운동,1.1만회,1년 전
136,"라운드숄더, 말린 어깨를 펴주는 3가지 교정 방법",1.1만회,9개월 전
137,[굽은등 굽은어깨] 팔이 무거워서 어깨가 말린다! 라운드 숄더 교정법 일자목 거북목을 위한 스트레칭,1만회,2년 전
138,"미친효과! 의자에서 바로 목, 어깨 통증 없애는 방법!  라운드숄더까지? 이게 되네?#shorts",1만회,3개월 전
139,"서울대 송서현의 꼼꼼한 레슨(2) ""라운드숄더 아웃!"" 이너타이/랫풀다운/기립근/광배근강화",1만회,1년 전
140,이 근육을 관리해야만 라운드숄더가 펴집니다.l라운드숄더 교정운동I,1만회,1년 전
141,"1.라운드숄더 교정되고, 2.어깨 뻐근함 없어지고, 3.천국의 시원함을 느낍니다.",1만회,1개월 전
142,라운드숄더는 어깨운동 이렇게 하세요,1.1만회,1개월 전
143,"라운드숄더 승모근 없애기, 딱 13분! 체형교정운동, 이 운동 무조건 하세요",1만회,1개월 전
144,라운드 숄더 어깨운동하다가 다치지 않는 방법 I 굽은어깨라면 꼭 보세요,1만회,1년 전
145,렛풀다운 1분컷 정복하기(라운드숄더 교정숄더패킹),9.9천회,1년 전
146,라운드숄더 필수 어깨부상예방 스트레칭 6가지,9.8천회,2년 전
147,"[폼롤러 사용법#3] 라운드 숄더 교정 시작이 중요! / 굽은등,말린어깨,거북목 근막이완",9.7천회,2년 전
148,(라운드숄더) 굽은 어깨/ 굽은 등 체형에 맞춘 운동법 덤벨 숄더프레스,9.5천회,1년 전
149,라운드숄더 꼭 보세요! #shorts,9.2천회,3개월 전
150,"[쇼핑몰 모델 언니 X 필라테스 강사 동생] 라운드숄더&거북목 교정하기│편안한 레깅스, 브라탑 추천│속옷쇼핑몰 위아래 WIARAE",9천회,1년 전
151,누워서 하는 라운드숄더 펴기 1편,8.9천회,1년 전
152,라운드숄더 핵심 4가지 스트레칭 (4Exercise to Round Shoulder),8.9천회,2년 전
153,"굽은등,라운드숄더?딱이것만 제2탄!! 폼롤러로 손쉽게 따라해요!",8.9천회,9개월 전
154,★[한쪽 어깨 말림] 라운드숄더 ★ 불균형은 이렇게 해결하세요    | 즉각적 효과  | 체형맞춤솔루션 홈PT 9회차,8.7천회,8개월 전
155,"거북목, 굽은등, 라운드 숄더 교정바이블. #2.운동편 : 100%완벽 교정 루틴, 5가지 교정운동 풀 시퀀스",8.4천회,2년 전
156,"라운드 숄더 해결해드립니다 , 고민하지말고 당장 보세요 ㅋㅋ",8천회,1년 전
157,"팔저림, 목 통증에 좋은 운동법(라운드숄더/흉곽출구증후군) (흉부외과 서동주, 맹그로브짐 김태윤)",7.8천회,스트리밍 시간: 7개월 전
158,앉아서 하는 라운드숄더 펴기,7.7천회,1년 전
159,상체 체형 교정 운동하고 거북목&라운드 숄더 탈출하자(+팔뚝살 라인 정리) | 나는 몸신이다 373 회,7.6천회,8개월 전
160,"라운드숄더 교정을 위해서 '이운동'을 꼭 해야합니다! (feat. 굽은어깨, 교정)",7.5천회,1년 전
161,"자세교정 (거북목, 라운드숄더) 이렇게 쉽다 round shoulder",7.7천회,1년 전
162,물리치료사가 알려주는 라운드숄더 스트레칭,7.3천회,9개월 전
163,말린어깨 체형 주목! 라운드숄더 피면 안되는 이유와 어깨 교정 운동법,7.4천회,2개월 전
164,[맹쌤SNPE] 라운드숄더 교정 루틴 2 - 운동편,6.8천회,1년 전
165,라운드 숄더 어깨운둥 - 효과 대박 둥근어깨 핵쉬운 교정운동 |1분 튼튼재활|,6.8천회,1년 전
166,"말린어깨 라운드숄더 진단과 스트레칭, 방치하면 회전근개파열로 이어질 수 있다?!",6.7천회,1년 전
167,"(ENG) 거북목, 라운드 숄더 탈출기🐢 필라테스 비추천 하는 이유 / 경락, 주사, 도수치료 ❌ / 집에서 스스로 교정하는 방법",6.5천회,1개월 전
168,라운드 숄더 활짝 펴주는 10분 교정 운동! 등살빼기,6.3천회,2년 전
169,어깨관리 끝판왕 모음zip✨ 승모근 삭제 & 라운드숄더 교정! 직각어깨 만들기,6.6천회,2개월 전
170,[거북목/라운드숄더 개선] 스트레칭 + 운동,5.6천회,1년 전
171,라운드 숄더에 정말 정말 도움되는 스트레칭!! (#shorts),5.6천회,1개월 전
172,라운드숄더에 좋은 스트레칭,5.7천회,1개월 전
173,"거북목, 라운드숄더 인분들 주목! 상체가 개운해지는 마법의 스트레칭 🍃",5.5천회,2개월 전
174,"라운드 숄더, 둥근 어깨, 굽은 어깨 어디서나 가능한 5분 셀프 교정법",5.4천회,1년 전
175,라운드숄더 5초 스트레칭 #shorts #라운드숄더,5.3천회,1개월 전
176,"폼롤러 마사지 (가슴, 이두) - 라운드숄더 교정",5.2천회,3년 전
177,라운드숄더 3가지 원인보다 중요한 것!,5.1천회,1년 전
178,"손저림 | 라운드숄더 | 손이 저리는 다양한 원인들, 혹시 나는?!",5천회,1년 전
179,"말린어깨(라운드숄더),거북목,굽은등,등살빼기에 효과적인 스트레칭 자세교정운동 해보세요 round shoulder stretching",5.1천회,1년 전
180,"어깨뭉침 라운드숄더  팔뚝살 거북등 거북목 가장 기본적 운동법 지금 바로 따라해보세요.(바른걷기,걷기운동 근력운동 자세운동 오십견운동)",5천회,2년 전
181,프리미엄 리햅 굽은등/라운드숄더 교정 운동/자세한정보는👉🏻e_oooow인스타그램,4.9천회,6개월 전
182,등운동 한다고 라운드숄더가 펴지는게 아닙니다(ft.굽은어깨),5천회,1개월 전
183,의자에 앉아서 하세요. 거북목&라운드숄더 교정운동ㅣrounded shoulder correction exercise that you sit down,4.7천회,1년 전
184,사무실에서  조용히  혼자 척추균형 맞추고 라운드  숄더 바로 잡기,5천회,3개월 전
185,"하루 1분, 라운드숄더/굽은등 탈출 ! #shorts",4.6천회,4개월 전
186,[라운드숄더 승모근 스트레칭] #라운드숄더교정 #체형교정 #재활운동 #거북목 #승모근 #필라테스 #홈트 #홈필라테스 #홈핏 #대치필라테스 #운동 #요가 #필라테스강사,4.6천회,6개월 전
187,62강 라운드숄더를 위한 데드리프트 그립 방법!! 효과좋음!!,4.5천회,3년 전
188,밴드만 있어도 가능한데 안 따라 한다구요?!? (Feat. 라운드숄더) #shorts,4.4천회,1개월 전
189,헬창&초보자&라운드숄더를 가진 분들을 위한 사이드 래터럴 레이즈ㅣ운동연구가 성훈,4.3천회,2년 전
190,거북목/라운드숄더 모든 교정운동을 한곳에 담았다 2,4.4천회,6개월 전
191,미친효과! 집에서 간편하게 라운드숄더 교정운동! 이게되네?#shorts,4.3천회,4개월 전
192,목아플때 이거만한게 없지 라운드숄더 펴주는 대흉근스트레칭,4.2천회,4개월 전
193,운동을 잘못해도 라운드숄더가 된다! 상체스트레칭 마사지 [2탄],4.2천회,5개월 전
194,내 어깨 라운드숄더인지 알아보는 법 #shorts,4.2천회,6개월 전
195,[주파수 강조 Ver]예쁜 목라인을 만들고싶다면 라운드숄더 교정 주파수 | 거북목 교정 효과,4.1천회,2년 전
196,하타요가 /라운드숄더펴기 ;굽은등 펴기 /상체요가 [따라하는요가] Nirodhah Jin,3.8천회,5개월 전
197,라운드숄더 관리와 어깨통증을 유발하는 자세! / chiropractic / massage,3.8천회,4개월 전
198,라운드숄더 도수치료 어깨가 아프다면 꼭 받아야 할 치료(round shoulder treatment),3.7천회,11개월 전
199,4강 [7분25초부터 보시면됩니다] 라운드숄더 분석 및 교정방법 실전 전략,3.6천회,스트리밍 시간: 10개월 전
200,말린어깨 라운드숄더 펴주는 리햅 무지개 스트레칭,3.6천회,5개월 전
201,40강 라운드숄더 교정을 위한 라운드벤치 소개영상,3.2천회,3년 전
202,"[마사지건 추천/마사지건 사용법] 굽은 어깨, 라운드숄더에 도움 주는 운동법 액티브건 가슴마사지법",3.2천회,3년 전
203,어디서든 가능한 라운드숄더 교정운동 2가지,3.3천회,3일 전
204,미친효과!  라운드숄더! 날개뼈통증! 바로 사라지는 운동법 | 이게 되네? #shorts,3.2천회,4개월 전
205,거북목&라운드숄더 박살 내버리기!,3.1천회,8개월 전
206,라운드숄더 결별스트레칭 #shorts,3.1천회,5개월 전
207,"🎉채널독립🎉 주말의 홈트｜이가영의 올리비아 요가, '승모근, 라운드숄더 관리 요가'",3.1천회,2년 전
208,초간단 라운드숄더 탈출하기 #shorts,3.1천회,7개월 전
209,💚💚라운드 숄더용 머슬러 이렇게 나옵니다!💚💚 www.bley.pro 에서 예약주문 받습니다!,3.1천회,8개월 전
210,라운드 숄더 개선 루틴 with 폼롤러｜스트레칭 + 운동｜층간소음X (ft. 안다르),3.2천회,2개월 전
211,라운드 숄더 개선하는 법 (feat. 가슴 운동),3.2천회,1개월 전
212,힘내쇼 148화 라운드숄더가 고민이세요? 견갑골의 움직임을 이해하면 됩니다!,3.1천회,5개월 전
213,라운드숄더 교정운동,2.9천회,4개월 전
214,⭐️재활전문강사가 알려주는 굽은등 펴기⭐️#shorts,2.9천회,13일 전
215,우리아이 라운드 숄더를 막아라! 5세도 가능한 초간단 어린이 유아 홈트!  Ultra-Simple Child Home Training,2.9천회,2년 전
216,라운드 숄더 교정 운동 루틴｜스트레칭부터 운동까지 딱 10분｜폼롤러 활용 (ft. 안다르),2.9천회,8개월 전
217,집에서 하는 어깨 근력 운동 루틴｜라운드 숄더 교정｜덤벨/밴드 활용,2.8천회,10개월 전
218,총총 / 스트레칭 컨디셔닝 케어 티저영상(라운드숄더) / muscle breaker. 카이로TV,2.7천회,3개월 전
219,라운드 숄더용 상세분석: 노벨 의학상의 가치가 진짜 있을까요?,2.7천회,5개월 전
220,라운드숄더 말린어깨 교정운동,2.7천회,4개월 전
221,"일자목, 라운드숄더에 좋은 #YTW운동 #목디스크운동 #목재활운동",2.7천회,2개월 전
222,"""저는 라운드 숄더라서 목과 어깨가 항상 아파요. 제발 구해주세요!""",2.7천회,4개월 전
223,거북목 라운드숄더를 한방에 교정하는 치킨운동법이 있다? 브릴치킨 동작을 배워봅시다.,2.6천회,3년 전
224,라운드 숄더와 거북목 완화를 위한 스트레칭,2.6천회,3년 전
225,"""라운드 숄더라서 목/어깨가 항상 아파요.""",2.6천회,3개월 전
226,폼롤러로 라운드숄더 개선할 분🖐 #shorts,2.5천회,8개월 전
227,증상별요가 ll 뻐근한목을 시원하게 /어깨 라운드숄더 거북목에 좋은 자세 -카루나 tv-,2.5천회,2년 전
228,라운드숄더 교정을 위한 10분 교정운동 I 매우간단 I 매트 없어도됨 :),2.4천회,6개월 전
229,[맹새해프로젝트] DAY 8 - 노력해도 라운드숄더가 나아지지 않는다면 ?,2.4천회,9개월 전
230,굳은 어깨를 풀어주는 요가 ( 어깨 통증 완화/라운드 숄더 교정/오십견 예방 요가 스트레칭),2.5천회,2년 전
231,라운드 숄더 교정 운동(말린 어깨 운동) 짐볼을 동반한,2.5천회,6개월 전
232,폼롤러를 이용해 라운드 숄더를 교정하는 방법,2.3천회,4년 전
233,라운드숄더 스트레칭,2.3천회,3개월 전
234,프리미엄 리햅 거북목 라운드숄더 교정 #shorts,2.2천회,7개월 전
235,[2-1부 조근복 교수님] 라운드 숄더 교정/How to fix rounded shoulders,2.3천회,2개월 전
236,이 영상을 본 당신은 라운드 숄더에서 벗어납니다 #라운드숄더 #굽은등 #거북목,2.2천회,2년 전
237,라운드숄더 스트레칭,2.2천회,3개월 전
238,겨드랑이살? 라운드숄더? | 아직도 가슴운동을 안하세요?,2.2천회,4개월 전
239,[민잉.vlog] 어깨통증 해결을 위한 라운드숄더 교정 가슴 스트레칭 운동브이로그 ❤️‍🔥 (ft. 하부승모근 ),2.2천회,3개월 전
240,하루 30초 라운드숄더 교정운동 #shorts,2.1천회,6개월 전
241,라운드 숄더 스트레칭 챌린지,2.1천회,3개월 전
242,라운드숄더를 방지할 수 있는 요가동작 7분,2.1천회,3개월 전
243,"굽은등, 라운드숄더 1분만에교정  #Shorts",2.1천회,8개월 전
244,"거북목교정 라운드숄더교정운동 말린어깨교정 지금시작하세요![직장인운동,서울대석사트레이너]",2천회,3년 전
245,라운드 숄더 예방을 위한 '노머니 드릴 운동' #shorts,2천회,1년 전
246,👈버틸 수 있다면  라운드숄더 어깨통증 평생 걱정없음 확인해보세요,2천회,1년 전
