,아이디,댓글 내용,댓글 시간
50,  쌍방울,시작한지2틀밖에 안됬는데도 하고나면 통증이 확실히 나아지는거같아요!!!! 시작하기전에는 25분이 길게 느껴졌는데 집중하다보면 금방 시간 순삭이네요!  감사합니단 영상보면서 1일1요가로 건강한몸만들어볼껭ㅕ!,1년 전
51,  시은,진짜 진심으로 감사드립니다어떻게 이렇게 시원한 동작들만 모아놓으셨는지앞으로 꾸준히 바른 자세로 생활하려고 노력해야겠어요 감사합니다,10개월 전
52,  다람지성🐿️,제가 학교 온라인클래스에서 요가소년님영상으로 수업해서 항상 느끼는건데 설명도 잘 이해할수있게 설명도잘해주시고 저같은 요가초보들도 쉽게잘 따라할수있는거같아요 항상 감사합니답!!!!,2년 전
53,  연두정원,스트레스로 어깨랑 목이 꽉 뭉쳐있었는데 요가소년님 동영상 보며 오늘 풀렸어요어제는 우울감 없애는 영상 따라하고 정수리 멍한 느낌 많이 좋아지고요 감사합니다 ^^♡,1년 전
54,  Christine Park,아주 도움이 많이 되었습니다. 감사합니다 ,1년 전
55,  유주,ㅠㅠㅠ 목과 어깨가 너무 아팠는데 요가하고 나니 한결 좋아졌어요. 정말 고맙습니다!,3년 전
56,  모른다TV,이 영상으로 오늘의 오전 수련 마무리 합니다. 선생님과 함께한 요가수련으로 완벽한 아침입니다. 고맙습니다.,2년 전
57,  아마란디씨,요가는 처음 따라해보았습니다. 제가 일자목에 육아를 하느라 늘 어깨 목 허리까지 굳고 아픈데 지금 15분 따라했는데 넘 편해지네요...호흡하고 명상하면서 하니 더 마음도 편안해지고 좋은거같습니다. 목소리도 편안하고 좋으시네요! 기본자세만 잘 해도 정말 통증은 줄어들거같아요. 좋은 영상과 설명 감사합니다!!,2년 전
58,  드로우앤드류,요즘 편집하느라 고생을해서 어깨가 많이 아팠는데 딱 필요한 영상이네요. 감사합니다! 항상 잘보고있어요!!,3년 전
59,  Julie Park,앉아서 일하는 사무직이라 거북목과 승모근이 뭉쳐 두통이 종종 있어요. 요가소년님 영상으로 두통이 심할땐 두번씩 연달아 하기도 해요. 신기하게도 정말 좋아졌습니다. 고맙습니다! :),2년 전
60,  노크부부의 하루,목디스크가 살짝 있는데 따라하기 쉬운 요가동작을 찾다가 발견했어요. 몸이 뻣뻣해서 웬만한 요가는 못 따라하는데 어렵지 않아서 너무 좋아요! 호흡을 까먹을 때가 많은데 중간에 호흡소리가 같이 들리니까 더 좋습니다!,1년 전
61,  두두,목과 어깨결림을 달고 살던 제게 완전 필요한 요가시퀀스에요! 감사합니다 ,4년 전
62,  juhwanparktoy좐박토이,한의원갔다가 안풀려서 해봤는데 정말 도움이 많이됬어요!! 방송도 잘 보고있어요언제나 응원합니다!,1년 전
63,  으아으아,"8/1 출석체크! 6,7월은 요가보다 다른 운동을 가까이 했는데 8월은 다시 꾸준한 수련 할 수 있도록!! 감사합니다!",1년 전
64,  다해일러스트,집에있는 주부인데 운동생각날 때마다 옵니다…! 너무 무리하지않는 선에서 찌뿌둥한 몸 풀수있어 너무 좋습니다!!!,4개월 전(수정됨)
65,  KIRANG,"100번도 더 본 것같아요.  사무실에서 종일 시달리다 보면 어깨 목이 너무 아픈데 이 영상 따라하면 신기할 정도로 괜찮아져요.  요가소년님, 항상 감사하고 있어요.",2년 전
66,  가니데이,요가 시작하면서 하면 할수록 관심이 가는 중이었는데 따로 센터 다닐 필요 없을 정도로 잘 알려주시는 것 같아요....! 숨 안쉬고 있었는데 호흡하라고 하셔서 좋았어요 ㅋㅋㅋㅋㅋㅋ 목소리 넘 좋으세요 많이 보고 요가할게요!,3년 전
67,  Rae DF,어깨 목 주변이 늘 긴장돼있는데 이 요가 시퀀스가 단연 최고에요ㅠㅠㅠ넘시원해요,3년 전
68,  난다강,목이 뭉쳐서 오늘은 이영상으로 수련했어요.감동이네요 ~요가소년님 행복하시고계속 계속 활동해주세요~^^,2년 전
69,  MY Kim,요가소년님 처음 해보는 요가였는데 덕분에 즐겁게 따라했습니다! 앞으로도 꾸준하게 해보려고 합니다. 감사합니다 :),2년 전
70,  눈부처,"라이브 수련 후, 목통증 해소하고자 조금 더 수련해보았습니다. 15분의 요가 자세를 넘어서 평소의 바른 자세에 대한 조언이 값집니다. 감사합니다.",2년 전
71,  TV재팀의 유쾌한일상,목디스크와 견갑골 사이 통증으로 직장을 다니기 힘들정도였는데 이영상.덕분에 출근이 더이상 두렵지 않네요!매일매일 들어와서 수련하고 갑니다ㅎ,1년 전
72,  예은,항상 목이 뻐근했는데 오늘 이영상 보고 따라해봤더니  확실히 더 좋아진 것 같아요감사합니다!,3년 전
73,  YW K,매일 감사하며 수련하고 있습니다. 선생님 호흡소리에 저의 호흡을 다시 살피며 하니 도움이 많이 되네요. ,4년 전
74,  큐류르_츄,뻐근했던근육들이 풀리는느낌이 너무좋습니다 오늘도 감사합니다,1년 전
75,  김제로영,계속 앉아서 생활하니 목과 어깨 통증이 심하다가 영상보고 따라했더니 한결 편안하네요. 내일부터는 모닝요가도 따라해보겠습니다. 영상 속도도 괜찮고 잘 만드신거 같아요~^^,2년 전
76,  kpk422,저장해 두고 매일매일 하고 있는데 어깨랑 목이 넘 좋아졌습니다^^감사합니다 선생님️,2년 전
77,  요라테스,잘못된 생활 습관이나 업무 때문에 몸이 망가지는 데~ 이런 요가가 몸을 풀어주고 되돌리는 데 도움이 많이 돼요.요가 입문하여 열심히 수련하고 있는데~ 요가소년님 tv와 유튜브로 많이 배우고 있어요. 좋은 영상 땡큐~~~!!!!^^,2년 전
78,  모닝다람,앉아있는 시간이 길다보니 오늘따라 어깨가 뭉친 느낌이 있어서 따라서 해봤는데 진짜 좋아요ㅠ-ㅜ평소에 자세를 바르게 유지했으면 덜 뭉쳤을텐데요...앞으로도 주기적으로 와서 따라하고 자세도 노력해야겠어요 감사합니다 ️,2년 전
79,  잰이,공부하면서 자세가 엄청틀어져서온몸이아팠는데 이동영상보고 따라하니 설명도 세세하고 속도도 적당해서 보면서 잘따라할수있었어요 구독하고 갈께요 항상좋은 동영상부탁드립니다:),4년 전
80,  Mirim Kim,요가 완전 생초보입니다 회사다니면서 목이랑 어깨 허리가 너무 안좋아서 요가영상찾다가 처음 요가소년님 따라 하고 나서 너무 힘들었는데 다음날 출근할때 몸이 개운하다는 걸 알게되고나서 이제 꾸준히 해보려고 합니다 오늘 수련도 정말 좋았습니다 너무좋아요,2년 전
81,  B염,주2회 요가로 어깨가 풀리지 않아 이 영상으로 도움 많이 받았습니다_! 감사합니다^^,3년 전
82,  따듯한말 한잔,긴장되있고 뭉친 어깨가 풀리기를오늘도 감사합니다.,2년 전
83,  angee lee,요가하다보면 저도 모르게 숨을 참아서 호흡하는게 어려웠는데 숨소리가 들리니까 의식적으로 더 하게되요. 정말 좋은 영상입니다. 꾸준히 따라할게요!,3년 전
84,  haru doremi,보고 또봐도 너무 좋아요!! 요가소년님의 목소리가 힐링의 한부분이기도 한것 같아요^^ 물론 요가도 맘이 차분해지지만요^^,2년 전
85,  나기억해,요가를 시작한지15년이 넘었는데 요가채널은오늘 티비서 우연히 보고들어왔어요따라하기 쉽게 잘 가르쳐 주시네요요즘 코로나로 수업도 없는데여기서 하면 좋겠어요ㅎ,1년 전(수정됨)
86,  김민선,너무 좋아요!! 최고입니다ㅜㅜ 스트레칭에 아주 큰 도움이 되고 있어요 감사합니다!!,2년 전
87,  나야나,저는 사실 요가를 그렇게 선호하지 않았던 사람인데 요가소년님의 영상들을 따라하다보니 요가의 매력에 빠졌네요. 정말 감사합니다,3년 전
88,  jerry,하루종일 앉아서 공부하는데 이거랑 허리 통증 요가 두개하면 확실히 나아요 감사합니다 ,4개월 전
89,  원해,어지러움증 생겨서 병원 고민하고 있었는데 목 어깨 근육 풀고 한결 편안해졌어요. 꾸준히 해보려고요! 정말 감사합니다 ,3년 전
90,  sy L,요가를 접한지 6~7년된 사람입니다~ 몇년 출산과 육아로 요가를 놓았더니 몸도근질하고 운동도 절실한 몸이되어버렸네요..ㅜ 유투브로 요가 동영상 찾아보다 정말 제대로 자세 나오는 분을 접하게되어 너무좋아요 어줍잔게 나오지도 않는 자세잡고 유투브에 영상올려서 누군가에게 가르치려는 몇몇 영상과 스트레칭 자세들 보면서 어처구니가 없던차에 너무좋은 영상을 찿게되어 앞으로 꾸준히 해보려구요~이거 보시는분들 제대로된 요가 영상중에 몇안되는 영상이지 싶습니다 설명대로 천천히 꾸준히 따라하시면 분명 몸의 놀라운 변화를 경험하실겁니다~하루아침에 이뤄지는게 아니기에 요가소년님의 노력에 존경을 표합니다~좋은영상 감사합니다~,4년 전(수정됨)
91,  SeonYeong Kim,"어깨, 목 결림이 삭 풀어지네요  집에서 혼자 따라하며 건강해지기 위해 매일 노력중이에요 ㅎㅎ천천히 따라할수 있게 잘 찍어 주셔서감사해요",2년 전
92,  달나라퇴깽이,목디스크로 요가를 쉬고있는 1인 입니다. 진통제 한번 먹는것보다 요가 한번 하는게 통증이 훨씬 덜하네요ㅜㅜ!!유익한 영상  늘 감사드려요♡,1년 전
93,  sehwi kim,정말 너무 좋아요...운동 안해서 몸이 망신창이인데 요가하고 나면 몸이 유연해지고 부드러워져요. 마치 엔진오일을 바른것같네요 매일 보고 건강해지겠니다!!,3년 전
94,  이하영,"22.08.26 금)  목, 어깨 스트레칭 완료!이 영상덕분에 목과 어깨,등이 시원해졌습니다~",3개월 전
95,  설쮸iam,매일 저녁 자기 전에 하루 업무로 굳어진 어깨와 목을 이 영상을 보면서 풀어주고 있습니다. 감사드려요 !,3년 전
96,  yeojeong,저녁마다 따라하고 있습니다. 짧게 작은 동작들이라 안부담스럽고 너무 좋십니더~ 감사합니다~,4년 전
97,  류연수,3일차 요가 완료 했어요 너무 시원했어요!,2년 전
98,  찐콩,요즘에 보면서 자주 하고 있어요! 요가 학원 다닐때랑 똑같은 동작 많아서 초보인 제가 하기도 좋고 너무 시원해서 감사하다는 말 전하고 싶어서 댓글을 답니다 ^^ 고맙습니다,1년 전
99,  둘2,요즘 좌식 생활 하느라 목 어깨가 너무 아파서 이번 시퀀스 해봤는데 개운하고 너무 좋습니다.!,2년 전
100,  kkkeesss_,어깨가 주기적으로 아픈지가 꽤 되었습니다. 요가소년님 요가 하고나면 씻은듯이 개운해져요ㅠ 감사합니다,2년 전
101,  Sung-Jin Hong,실망시키지 않는 요가소년님. 오늘도 감사합니다.,3년 전
102,  반짝반짝,아침에 힘들어서 따라해봤는데 와 너무 시원하네요 저장했어요 감사합니다,3년 전
103,  꽈당이TV,"직장인입니다. 평일에는 집오면 8시 9시라 운동도 못하고, 1년넘게 주말마다 한의원에 통증의학과에 병원다니는게 제 일이었는데, 요즘 통증이 너무 심해져서 요가소년님 영상보고 한번 시도해보았습니다. 목소리도 너무 좋으시고, 몸도 가벼워진 느낌이에요!! 앞으로 자주자주 따라해야겠어요 감사합니다",1년 전
104,  찔레꽃,어깨랑 팔이 늘 저린듯 아팠는데 선생님 덕분에 한결 시원해졌네요~~감사합니다^^,5개월 전
105,  ㅇㅈㅇ,유산소운동하고 간단하게 목스트레칭하는건데 너무 좋아요 ㅠㅠ 목소리도 듣기 너무 편안해서 눈 살짝감는데 졸려요 ... 최고에요 자주 배워가겠습니다 감사합니다 ,2년 전
106,  문세미,매일은 아니지만 종종 보고 있고 감사한 마음 간직하고 있습니다. 언젠가 요가소년님의 인터뷰 글 본적 있어요. 성장 발전 이런것 보다는 현재의 삶을 유지하는데 더 집중한다는 말이 와닿았던것 같아요.   뭐 하나라도 놓칠까봐 조바심 내면서 하루를 보내는 나를 돌아보게 되드라구요. 저도 늘 감사해요!!,1년 전(수정됨)
107,  낭기,와우 아팠던 어깨가 다 풀렸어요! 감사합니다♡♡♡,2년 전
108,  Amy,감사인사를 드려야 할거 같아요 ㅠㅠㅠ 거북목때문에 두통이 생겨서 앉아있기가 괴로웠는데 이거하니까 두통이 좀 완화되더라구요 ㅠㅠ  진짜 감사합니다!,4년 전
109,  날....알아?,공부하고있는 학생입니다 목통증이 심해서 두통약을 달고살았는데 요가소년님 영상을 매일 보고 따라하니까 목통증이 많이 줄었어요 ㅜㅜㅜ 감사합니다,2년 전
110,  Jinchul Moon,"선생님 감사합니다. 41살 아저씨인데 목통증으로 너무나 오래 고생했어요, 온갖 병원에서도 못 잡던 통증, 선생님 따라 수련하면 좋아질 것 같아요. 열심히 수련할께요.",2년 전
111,  강혜진,어깨랑 목 옆구리가 시원해집니다. 요가 넘 좋아요^0^,3년 전
112,  tae ueno,평소어깨결림으로 목에서 뚜둑뚜두둑 소리가 자주나고는 하는데 이번영상 올려주셔서 정말 감사해요 마지막에서 두번째동작 너무 시원하네요ㅎㅎ :-),2년 전
113,  리니어algebra,스트레스와 불면으로 목어깨통증 매우심했는데요 물리치료 한의학침 맞고도 완화되는 느낌이 크게 없었는데 이 영상 하루에한번씩 한달간 따라했더니 신기할정도로 통증이 줄어들었습니다 감사합니다 요가소년님,3년 전
114,  현,목어깨가 너무 결릴 때 항상 이 영상봅니다 하고나면 어깨뭉친 것도 다 사라지고 다음날아침이 가뿐합니다 항상 감사합니다 건강하시고 행복하세요~^^,1년 전
115,  성이름,하루종일 어깨가 아파서 혹시나하고 해봤는데 통증도 줄어들고 너무너무 시원하네요 좋은 영상 감사합니다!,2년 전
116,  김은주,초등생 아이들과 함께 해봤는데 너무 편하고 좋아요,2년 전
117,  ye rin YU,이거 너무 좋아요~목이 앉아도 아프고 누워도 아픈데 이거 하고 나면 통증 완화된 기분이예요~너무 좋습니다!!!,3년 전
118,  BR's STUDIO,"한의원, 외과등 아무리 병원 많이다녀도 안괜찮았는데 확실히 계속 영상보고 따라하니 훨씬 가볍습니다~못 고칠줄 알았는데 하고나면 목도 잘 돌아가고ㅠㅜ 희망이 보이는것 같습니다감사합니다 : )",1년 전
119,  lyca,"안마의자, 어깨 안마기 다 있지만 요가소년님 요가 만큼 시원하지 않아요. 호흡이 늘 어려웠는데 차분한 목소리 따라하다 보면 저도 모르게 어느새 자연스런 호흡을 하며 요가를 하고 있어요. 최고이심^^",3년 전
120,  hj K,"매번 감사드려요.직장인인데, 요가는 입문 단계라.. 혹시 가능하시다면, 이런 20분 내외 영상 많이 접할 수 있었으면 해요.정말 감사드립니다!",2년 전
121,  02 10,공부하는 자세 때문에 온몸이 쑤셔서 아침마다 해보려고 오늘 한번 처음 해봤어요!! 너무 시원하고 좋네요..항상 찾아올게요ㅠㅠ,2년 전
122,  Ku,어젯밤에 이 영상 보면서 스트레칭 하고 잤는데 목 어깨 통증이 한결 나아졌어요. 늘 편안한 영상 감사드립니다!! ,2년 전
123,  leeyullsun,첫날 따라했더니 담날 온 만신이 다 아프더라고요 ~아파도 또 따라했더니 차츰 덜 아픈게 완전 몸치였네요. 쉽게 따라할 수있어 감사합니다.은근 자세 교정도 되네요.,3년 전
124,  ᄎᄉᄒ,"12:28 영상 너무 감사드립니다. 너무 시원해서 자주 따라하고 있어요~ 위 동작을 수행할때 왼손 아래, 오른손 위로 할 경우는 두 손이 맞닿는게 가능한데 오른손 아래, 왼손 위로 할 경우는 반대와 다르게 많이 뻣뻣하고 맞닿는게 어렵네요.. 이럴 경우엔 몸이 비대칭이라 그런건가요? 계속 수행하면 괜찮아질지 궁금합니다.",2년 전
125,  우정이를우정해,하루에 2개정도 영상틀어놓고 요가를 하고있습니다. 몸이 한결 좋아지는 기분이에요. 감사합니다.,3년 전
126,  모른다TV,오늘도 “습관”미션 클리어 하고 자신감 있게 하루 시작합니다. 감사합니다.,2년 전
127,  아아,진짜 너무 감사합니다 수험생활 하면서 온몸이 찌뿌둥할때마가 요가소년님 영상 보고 따라하니 온 몸이 풀려요,1년 전
128,  광고회사 윤과장,목소리도 편안하고 설명을 너무 잘해주셔서 하는 내내 잘 따라할 수 있었습니다. 구독하고 1일 1영상 수련할거에요 ,2년 전
129,  김로즈,매일 책을 많이 보다보니  통증이 심했었는데  덕분에 목과 어깨 통증이 많이 좋아졌습니다. 감사합니다.,3년 전
130,  Kk,와... 목도 못 움직일 정도로 한달동안 많이 아팠는데 이거 며칠 하니까 나았어요...신기하고 감사해요! 꼭 해보세요 중간에 끄지 말고 끝까지 해보세요!!,1년 전
131,  Sarang Moon,진짜 한의원 정형외과를 밥먹듯이 다녀도 개선되지않았었는데 이거 이틀 따라해보니 완전 날아갈듯이 가벼워요!!! 감사합니다,1년 전(수정됨)
132,  토깽,저 엄청 거북목인데 따라하고 나니까 목이 시원해요ㅜㅜㅜ 감사합니다~~~,3년 전
133,  Jeinam Woo,저는 편두통이 심해서 오랫동안 고생했는데 따라하면서 정말 많은 도움이 되었어요. 감사드려요. 저처럼 만성 편두통 있으신 분들 강추합니다.,1년 전(수정됨)
