,아이디,댓글 내용,댓글 시간
23,  루코마코,어깨가 앞쪽으로 굽고 등도굽으면서 목도 앞으로자꾸나오는데 팔굽혀펴기 넓게해서 등운동을 하면 괜찮아질까요?,2년 전
24,  Simpson E.,Please put in SUBTITLE English or Hispanish. ...Love,2년 전
25,  존슨,거북목 가지고 사는데 상세히 말씀해주시니 확 와닿네요 오늘부터 고칠려고 합니다 감사합니다,2년 전
26,  주현준,그럼 일자목은 어떻게 처방을 받고 진료해야 하나요? 해결책도 말씀해주셨으면 좋았을 것 같습니다...침을 맞으면서 근육을 푸는 게 도움이 될런지요?,2년 전
27,  신현수,ㆍ좋은 정보 고맙니다.,2년 전
28,  ?,턱을 뒤로 당기면 뒤쪽이 땡기는데 이렇게 되는게 맞나요? 그리고 턱을 뒤로 세게 당기면 투턱이 생기는데 강도를 어느정도로 해야하나요?,2년 전(수정됨)
29,  전땅크,선생님 제가 평소에 거북목하고 굽은등 증상이 있는데 밖에서 굽어보이는게 싫어서 목이나 등에 힘을 좀 주고있는데 괜찮은건가요?,2년 전
30,  Be Ready,학생때 뒷덤블링하다가 목 앞으로 한번 꺾이고나서 병원을 안갔었는데 그 후로 등 윗쪽 척추랑 왼쪽 날개뼈서부터 팔까지 통증이 있어 불편한데 어떻게 해야되나요? 교정으로 바꿀 수 있나요,3년 전
31,  메이라,운전석은 앞으로 당기면 위험하지 않나요? // 영상 잘 봤습니다!,2년 전(수정됨)
32,  누텔라한입,척추측만증도 교정 안될까요 ㅠ,2년 전
33,  좀 달래봐달래,거북목 교정에 잘때 베개를 안 베고자면 도움이 조금이라도 되나요?,2년 전
34,  yu woo,벽서기 자세교정법 자세하게 영상으로 만들어주시면 좋은데 ㅠ,1년 전
35,  kim,너무 좋네요,3년 전
36,  고혜정,내가 이 유튜버님을 이제 뵙다니.. 좀더 건강을 챙길걸..,1년 전
37,  이재홍,1:46 선생님 궁금한게 있습니다. 상부 흉추의 문제가 없이 목의 문제만으로 거북목인 환자분들도 많으신가요?,1년 전
38,  Ben Kim,거북목때문에 숨을 못쉬는 경우도 있나요? 제가 고등학교때부터 호흡문제가 심했는데. 근육이 온통 뭉쳐서 흉식 복식 호흡 거의 불가능에 이르러 정말 지옥같은 생활을 했었어요 ㅠㅠ,3년 전
39,  예비생,거북목 교정은 교정기를 사용해도 되나요??,2년 전
40,  lolo0,와이거했는데 효과좋아요 진짜시원함,2년 전
41,  마미마미,감사합니다  그렇게 해봐야겠네요,1년 전
42,  Owen,어떻게 당겨야하는지 느낌이 잘 안왔는데 영상보고 따라하니 좀 감이 오네요,2년 전
43,  헤이주드,머 어렵지 않아 잘 따라할법해요 생각날때마다 해볼께여 닥터 ~,2년 전
44,  마은성,저자세로 하면 뒷목이 좀 뻐근해지는데 괜찮은건가요?,2년 전
45,  장숙,거북목은 바른자세만 유지하면 절대 걸릴수가없는질환이지요. 근데 그게어려움,1년 전
46,  dew Jang,항문에 힘주면 자연히 아랫배에 힘이 들어가고 어깨랑 목에는 힘이 빠지면서 뒤로 갑니다. 힘들더라도 앉을때 걸을때 한번 해보세요~,2년 전
47,  쥔다,따라하면 목 뒤쪽의 약간의 통증이 있는데 이게 자세가 틀려서 그런지 궁금하네요 혹시 아시는 분들은 댓글 주시면 감사하겟습니다 ㅎㅎㅎㅎ,2년 전
48,  꼰대가르송,기구 필라테스가 거북목에도 도움이 되나요?,2년 전
49,  산들바다,모가지가 너무아파서 검색하다가 들어왔는데 유용한정보네요,2년 전
50,  Summer P,정말 수년째 일상에서도 엄청 노력하고 사는데도 완벽하게 고쳐지질 않아요 ㅠㅠ 뼈가 거북목 자세로 자리잡은건가 싶고..매일 앉아서 일하는게 아니라 매일 발레만 해야 완벽히 고쳐질것같아서 속상 ㅠㅠ,2년 전(수정됨)
51,  산소부족해,선생님 거북목교정기 카이로넥은 어떤가요??? 수건으로 하는거랑 비슷한 원리라 좋을것같던데 더정교하고,3년 전
52,  조태오,작업환경때문에 오래 앉아있다보니 어쩌다 한번씩 두통을 일으킬때있습니다....요즘 들어 더 심해지는거같구요...제가 허리를 피면 가슴부터 어깨까지 너무 올라갑니다....이 동작이 너무 부자연부럽습니다ㅠㅠ불편하기도 하구요ㅠㅠ 잘못된자세 바로 잡고싶네요ㅠ,2년 전
53,"  안녕, 해운댁 Homegrina",저게 가능한거군요 ^^♡,2년 전
54,  안녕하세요황금막내전정국입니다,등관리 받는것도 거북목에 도움이 되는데.,2년 전
55,  Esther Choi,거복목은 뒷목 뼈가 굽어서 거복목 된것 같은데  어떻게 해야하나요 뒷목뼈를 곱게 펴야하나요,1년 전
56,  JOE Kim,"요즘 많이 광고하는 목견인기,끈으로 당기는 무중력 견인기가 효과가 있을까요??",1년 전
57,  Erin C,도움되요,2년 전
58,  퐁당쇼콜라김,목을 c자로 만들어 운동하는줄 알았는데 오히려 뒷목을 펴준다는 느낌으로 해주네요,2년 전
59,  큥큥이,일자목에도 좋은운동없을까요?ㅠ일자목이라 넘 불편해요 어지럽고 두통도 오고 어깨 뻐근하고..ㅎ ㅠ,2년 전
60,  무룩,뼈는 이상없는 거북목 증상도 있나요?,2년 전
61,  소응히,이자세 하고나면 거의 이틀정도는 두통을 달고 사는데 몸이 나아지는 과정중 자연스러운걸까요? ㅜㅜ 넘 아파서 자주하기 무서워요..,2년 전
62,  센이,굽은어깨스트레칭과하면 조금 개선됨 그리고 내가 혼자서 그자세를유지하려면 근육을 써야하니 어깨운동도 해주면 어깨도유연해지고 근육도 붙어 편안해질거임 거북목이심해지만 복부에도힘실려서복부지방이쌓이고 전형적인 둥근 몸이되어버림.스트레스나 피로도 자주느끼게됨.... 그리고옷태도 더잘받으려변어깨선매우중요함...... 진짜거북목교정하기위해 정말부단히 신경쓰고있음......,2년 전
63,  qkakaj qoqowo,거북목이 키에 영향이 있나요? 예를들어 거북목인사람들은 거북목교정하면 키가 몇센치 늘어난다던지..,3년 전
64,  정민수,혹시 편두통도 일으키는경우도 있나요?,2년 전
65,  lhj 2,거북목도 거북목이지만다이어트가 빛을발휘함,2년 전
66,  BOOKSTOREMASTER,시력이 너무 안좋아서 안경써도 자동으로 가북목 자세가 되는데..... 운전하면 더해져요ㅠㅠㅠ 역시 퇴사를 해야 자연치유되나...,2년 전(수정됨)
67,  Chicago Lee,고정해도 무의식중에 다시 원래대로 돌아오고 그래서 좀 어렵네요ㅜㅜ 거북목 좀 고치고싶다,2년 전
68,  Anonymous,태어날때부터 거북목인데 이건 태생적 한계 아닌가요....? 승모근이 발달되어 있어서 뭔가 더 거북목이 되는 느낌인데 관계가 있을까요?,2년 전
69,  김ᄌᄋ,거북목베개도 효과있나요?,2년 전
70,  강아지멍멍,제가 거북목인데 안그래도 목이 긴데 거북목을 교정하면 완전 기린이 될꺼 같은데..방법 없나요?ㅠㅠ,3년 전
71,  조민준,거북목 때문에 얼굴 뼈가 커지거나 길어질 수도 있나요?,2년 전
72,  백드릴,오 한의원에서 거북목 같다고 해서 이거 보고 매일 스트레칭 해야갰네요,2년 전
73,  yj,필라테스할때 선생님이 뒷목쭉!! 뒷목쭉!!!!!이거 계속하면 습관됨ㅋㅋㅋ,2년 전
74,  김승현,전 목뼈가 거북목 반대로 아래로 향하는데 어떻게하죠?,2년 전
75,  이준호,원인을 없애면 되는거아닌가?오랜시간의 공부와 업무...,2년 전
76,  sananana k,와 비포 에프터 보니 차이가 엄청나다..,2년 전
77,  아깽씨,목 뒤 끌어올리는거 머리카락으로 올려도 되나요? 손으로 하면 올리는 느낌이 일도 없어요.. 그리고 손으로 하려면 머리카랔 때문에 미끌미끌..,2년 전(수정됨)
78,  Yuntaek Hong,이 영상보다가 느꼈는데 거북목으로 보고있음. 내인생 레전드,2년 전
79,  설정채널,승모근보톡스가 거북목개선에 도움될까요?,2년 전
80,  언덕위맛집,우연히 검색하면서 봤습니다. 외람되지만 정선근 교수가 턱넣는건 좋지않다고 하던데 해도 될까요? 그교수는 견갑골을 모으고 맥켄지말고는 다 나쁜운동이라고 해서요 정말 절실해서 물어봅니다. 이번에 아파서 다시는 아프고 싶지 않아요 .... 설명좀 부탁드려요,4년 전
81,  syuo bc,서울대 재활의학과 교수님 정선근씨가 턱을 들고 머리와 귀가  약간  뒤쪽에 있어야  된대요.,2년 전
82,  AN쌤,다리는 벌리고 있나요??아니면 붙이고 서있어야되나요,2년 전
83,  흠,어디서 많이듣던 목소리 .. .나 다니는 한의원쌤이네ㅋㅋ깜짝놀랐네요동네에서는 유명해요. 병원가도 안낫는분들 오는 병원으로 저도 거의 온몸이 다 아프다시피 해서 갔는데 어깨같은경우는 다 나았고 목도 일자목심한데 많이 편해졌어요. 물론 생활습관부터 바꾸는게 제일 중요하지만 심한분들은 치료가먼저에요,2년 전(수정됨)
84,  Haerium,여기 병원 어딘지 알려주실분 ㅜㅜㅜㅜㅜ,2년 전
85,  유현주,여성은 임신과 출산 육아를 하면 생길 수 있는것 같아요저 역시 둘째 출산 후  6~7개월 꾸준히 받고 고쳤는데 셋째 임신과 출산 후 다시 심해서 재치료 받고있어요,2년 전
86,  하설란,이거 자세도 해골로 만들어주시면안대나요? 허리도 붙여하나는지 발은 얼마나 붙여야하는지.. 잘모르겠어요,3년 전
87,  Hayoung,선생님 저에요.. 30되도록 그런가보다 하고 살았는데 요즘은 통증이 너무 심해져서 일할때도 너무 힘들어요 디자이너라 마우스를 계속 힘주고 쥐고 있어서 개선이 쉽지 않네요 가까우면 상담받고싶은데 병원이 어디인가요 ㅠㅠ,2년 전
88,  ゼニガメ,거북목인데..머리통증도 자주있는듯..,2년 전
89,  김재원,턱 당기는게 디스크에는 안좋다는데 디스크 있으면 이렇게 앉으면 안되나요?,1년 전
90,  Na zero,거북목+휜 척추가 심해서 교정자세를 30초만 해도 통증이 엄청난데 계속하다보면 통증도 없어지고 자세도 고쳐질까요ㅠㅠ,2년 전
91,  Linda,거북목이 완치가 가능한가요??,2년 전
92,  머핀,근데..내 체형이 정상이라고 생각하면서도 막상 전신 거울이나 그런거 비춰져서 보면 굉장히 어정쩡하고 이상하던데..자세교정이 중요하긴하구나..,1년 전
93,  다혜,외후두융기랑 턱을 댕기면 왼쪽 발이 저릿저릿한데 원래 이런건가요??ㅠㅠ,1년 전
94,  핸크드림,4:19  ㅋㅋㅋ너무 웃겨요 춤추시는 거 같아요 ㅋㅋ,2년 전
95,  S Win,경추배게나 수건을 말아서 베는게 도움이 되나요??,2년 전
96,  김나나,목도 목인데 다이어트도 하신거 같아요 발레하면서 저도 거북목인데 베게 안베고 자는게 도움이 될까요 목뒤를 푸는 운동은없을까요,2년 전
97,  박경희,베개에  머리를 어떻게 자야될까요?저는 동근 필통형으로 머리가아닌목에 베고 잡니다.어떻게 해야하는지요?,2년 전
98,"  필라테스하는 물리치료사,람PT",와 강소라배우분 거북목교정하고 너무 이쁘시네요,2년 전
99,  홍보석 루비,목 왔다갔다하니 많이 아프네요ㅜㅜ 어깨가 더 아파요ㅜ,2년 전
100,  슼갈역겨워,제가 어깨가 이쁜 1자어깨 였는데 요즘 승모근도 많이 솟았는데ㅈ거북목때문에 이럴수있나요?ㅠㅠ,2년 전
101,  Linda,거북목도 나아질수 있나요?ㅠㅠ,2년 전
102,  FTR Chae,"숨 쉬기가 힘들고 침 삼키기가 힘든데, 교정자세를 잘못잡고 있는건가요???",2년 전
103,  Time Lapse,저는 일자목인데 경추7번 밑으로 롬보이드 라고 하던데 거기가 아프고 왼쪽어깨견갑주변과 왼쪽팔 내회전시 뚞뚝 충돌납니다..ㅜ,2년 전
104,  날다,맞습니다. 저 상부흉추까지 아프고 승모근까지 아픕니다. 뛸때도 아파서 잘못뛰어요. 그래서 거북목인지 일자목인지 졍확히 모르겠어요 저번에 도수치료 받는데 2ㄷ개다 있다고 하는것 같던데 ㅠㅠ 흠 어디서 치료받아야할까요,1년 전
105,  존버하는사람,분명 제가 엄청심한 거북목인줄 알앗는데 교정자세하는데 아무런 통증도 안느껴지는데 거북목이 아닌 걸까요??,2년 전
106,  Siwon Choi,하니까 턱살이 겹쳐서 숨쉬기가 힘든데 어떻게해야돠나요,2년 전
107,  SH,굿굿,2년 전
108,  ᄋ,목을 뒤로 젖히면서넘길때 아픈데 평소 침대에서 목을 꺽어서 휴대폰을보는데 해결법이 이영상에 해당되나요,3년 전
109,  교,선생님 병원 어디있는거에요??,2개월 전
110,  아르니칸,저는 역 C의 모양이라는데 이것도 교정이 되나요 ㅜㅜ?,2년 전
111,  새콤달달,우~와~거북목 고칠수있을것같아요.근데 턱살 심힌게 눌리네요,2년 전
112,  나랑이,굿,2년 전
113,  장낭낭,4:51에 나오는 노래 제목좀요 ㅠㅠ,2년 전
114,  김재홍,4:52 초에 나오는 음악 BGM 알려 주실 분계신가요??,2년 전
115,  김형진,선생님  턱을 넣고 머리를 들어올릴때 턱이 과도한 이중턱이 생겨 보기가 싫은데  잘못된건가요?,3년 전
116,  H헤르미온느,여기 병원 어딘지 아시는 분~?,2년 전
117,  쇠질인생,거북목땜에 키줄어드니까 일자목하십시오,2년 전
118,  ᴹᴵᴺᴬ,Please Translation arabic video Please LOVE YOU lm from IRAQ 🇮🇶🇮🇶️️️,1년 전
119,  도담,어우.. 등에 벽 밀착시키니까 너무아픈데요,2년 전
120,  유가영,"정형외과가서 프롤로요법인지 초음파 보면서 주사를 놓는...주사 15방인가 20방인가..  군데군데 맞고... 약국가다가 현기증나서 약국의자에 벌러덩 쓰러졌어요..  속에서 마취주사 냄새가 올라오고... ㅜ.ㅜ 이걸 2번 더 시술하자는데... 전화 안 받았습니다.평소 사무직에 내려다보는 일을 많이 하다보니 노화도 오고 일자목에 뼈도 살짝 날카롭게 자라있다고 하더라구요..한의원 다시 가볼까봐요..ㅜ.ㅜ그런데, 딱히 빨리 낫지 않는것 같지 않습니다.",3년 전
121,  유진,도수치료 받으려는데..효과있나요?ㄱㅋㅠㅠ,2년 전
122,  라임즙,거북목은 정말 일상의 적임. 아주 고얀놈임.반드시 교정이 필요함.ㅡ,4년 전
123,  한국경제문화연구TV,저도 거북목이에요ㅜㅜ 안고쳐져ㅜㅜ,2년 전
124,  임영웅사랑해♥,나도 거북목 진짜심한대 ㅠㅠ 진심거북이임ㅁ,2년 전
125,  라코,2번째 노래제목이 뭘까용,3년 전
126,  피치해,"근데 시중에나오는 책상들이나 어딜가도 책상ㅈ이 의자보다 낮아서 저자세로 공부하면 책 글씨가 거의 안보여요,, 나만그런가 결국 고3인 내인생이 문제",2년 전
127,  Jo Ha ra,저기 등살이많아서안펴지면어찌해야하나요?,2년 전
128,  오윤희,무슨 팁이 있나 하고 광고 기다리고 다 봤는데...,2년 전
129,  Martina,병원 어디인가요?,2년 전
130,  홍예담,이거하면 윗등이 너무 아파효ㅠㅠ 흑흑,3개월 전
131,  곱창맛잇따,목도 엄청 얇아졌네 ㄷ,2년 전
132,  woo bu,스마트폰 현세대에 원인중하나죠 웬만히면 집에서 누어서 봅니다,2년 전
133,  레아:,거북목을 교정하려 짜라해보랐더니 멀미가 납니다...왜죠?,2년 전
134,  y,샘.. 고개 집어넣으니까 두턱돼요ㅜㅜ 어케요?,2년 전
135,  333Nayul,거북이 : 저도 치료받을 수 있을까요 ㅠ.ㅠ,2년 전
136,  부티,장성규 + 보겸 같아요 ㅎㅎ 좋은 정보 감사드립니다 선생님!!,2년 전
137,  지니홀릭,바로접니다.전 삼차신경통까지 와서 머리MRI까지 찍고 카이로프라틱.도수.기타 마사지등등~~~이루말할수없어요.집에 어깨교정밴드3개.목밴드.경추목베개.가끔씩 목 어깨에 신경주사맞고있어요.왼쪽윗머리 편두통 신경찌릿찌릿거림.하~~~코로나좀 잠잠해지면 강소라님처럼 발레핏을 배워볼까 기구필라테스를 할까 고민하고있어요.,2년 전
138,  두두,근데 영상보니까 거북목이신것같은데...어깨 높이 보면 측만증도 심하신것같고...,2년 전
139,  FROG.J,제목이 불쾌할수도 있겠네요 대부분은 찔릴거같아서ㅋㅋㅋㅋ,2년 전
140,  hyemiin6,일자목이랑 거북목이랑 다른데 거북목교정이라해서 들어왔는데 마지막에 일자목이라고 하시는데 그럼 둘은 같은건아요?,1년 전
141,  민덩,3:34 교정방법 핳,2년 전
142,  다물어뜯는이휴지,필라테스2년넘게하고있어 거북목 개선이 많이되었으나  낮에 회사가면 다시 거북이... 운동가면 바른이 다시 거북이 바른이 거북이 바른이 회사를 그만둬야되나..,2년 전
143,  아주작은배려,굽은등. 거북목인사람많나요?  아프진않지만보기가싫어요 그리고 어깨를 축 이렇게걸어야편해요.  살이심하게쪘는데. 빼고나서 개선해도되나요? 살이쪄서 그래보이는거같기도하고굽은등은맞는거같아요자세를바로걷도록노력만해도고쳐질까요,1년 전(수정됨)
144,  김건형,어떻게치료해요?,2년 전
145,  앤드류스Andrew's,한스발그로니에서 여배우들 교정받는거 유명하던데,2년 전
146,  View For You,선생님께서도 어깨 대칭이..,2년 전
147,  갱좀오세요,썸네일 거북목을 교정한게아니라 걍 살을 6~8키로정도 뺀거구만,2년 전
148,  또루몽 ddorumong,내가 거북이인거 어떻게 알고 추천해줬지..?,2년 전
149,  이지안,뭐야 나 거북목인거 어케 알고 추천한거지ㄷㄷ,2년 전
150,  가요링,강소라 케이크 윈슬렛 닮지 않았나요???항상 누구 닮았다 했는데 에너지있는 이미지가 닮은 것 같아요,2년 전
151,  on coffee,의사 선생님이 거북목같으신데..ㅋㅋ,2년 전
152,  이은미,ㅋㅋ 누가 듣는거임??귀여우시네요 선생님^설명 잘 들었습니다 근데 병원이 어딘가요?,1년 전
153,  참소망,도대테 어디에 있는 한의원인가요치료받고싶어요제발 알려주세요,1년 전
154,  다현,장성규 닮았다...이건 확실해..!,2년 전
155,  Jooyeon,3:36 부터 먼저 해야할것 나옴,2년 전
156,  Viva,3:35시작,1개월 전
157,  김민수,이거하면 가슴이 펴지는느낌이 드는데 원래 그런건가요,2년 전
158,  Honey Boo,음악 없었으면...,2년 전
159,  OJ OJ,거북목이 아니라 살이 빠져서 그런거 같은데?,2년 전
160,  sy Lee,근데 왜 의사샘이..거북목...ㅠ,2년 전
161,  예술천재 Art genius,허리파이팅,2년 전
162,  킴롸켓,그냥 교정하는 법을 먼저 말했으면 좋겠다. 서론이 넘 길어요.,2년 전
163,  kang kim,귀에서.. 삐이이이 소리나요.. ㅜㅜ,2년 전
164,  lolo0,교정위해 발레다니려구요,2년 전
165,  무계획남 구독부탁해요,선생님 목도 앞쪽으로.. 조금 나와있는듯 싶은 ... 제 착각이겠죠?,2년 전
166,  뛰다가쿵했쪄,거북목이 아니라 살찐거임,2년 전
167,  김민수,4:05 외후두융기시작,2년 전(수정됨)
168,  쭈쏭,왜 그분의 얼굴이 보이는거지 ㅋㅋㅋㅋ,2년 전
169,  빌런,내 머리통 좀 잡고 땡겨줘~,2년 전
170,  뚝배기깨버린다,왼쪽 : 루주라(포켓몬)오른쪽 : 강소라,2년 전
171,  딕션,이분 영상이 찐임,1개월 전
172,  최원준,거북목이 아니라 살뺀거같은데,2년 전
173,  떡데리아,이자세 하니까 이중턱 되는데,2년 전
174,  mike kim,걍 강소라 살 빠진거같은데?ㅋㅋㅋㅋ,1년 전
175,  Euney Toons,3:35부터 보셔요,1년 전
176,  Xcdq,지금 말씀하시는 분. 거북목 아닌가요?,2년 전
177,  서수길,일자목이 거북목이랑 비슷한건가..나 일자목이라던데요,3년 전
178,  오지랖그만부려,발동 ㅋㅋㅋㅋ,2년 전
179,  토이스토리,순간 보겸인줄..,3년 전
180,  윤결,오우 진짜 죄송한데 구독 좋아요 할때 보겸님인줄 알았어요....,2년 전
181,  짱가,음악은 왜 깔지? 음악 시끄러워 강의 내용이 안들어옴,2년 전
182,  진효민,3:35,2년 전(수정됨)
183,  김성근,어떻게 외후두융기를 위로 올림? 결국 투턱되는데,1년 전
184,  유수현,교정운동 3:35,3년 전
185,  기적,목당기기가 제일안좋다는데 이거에 속는사람이 얼마나많을까..,1년 전
186,  이현수,순간 보겸인줄,2년 전
187,  f j,가족들을 빼앗아가지 말아주세요.지배해서 저를 상처받게 하지말아주세요. 서로 돕게 해주고 생각을 막아 사랑과 행복할 함께할 시간들을 빼앗지 말아주세요. 제 소원입니다. 왕따와 절교와 태움을 반대합니다. 인간 해킹 바이러스 투입 망쳐지는 프로그래밍 입력,2년 전
188,  Junsoo Shin,그냥 고개숙인건데 사진 잘골랐네..,2년 전
189,  햄,말이 조끔 느려요....조끔 많이..,2년 전
190,  양별희깜희,03:37,2년 전
191,  a,3:334:054:44,2년 전(수정됨)
192,  Justin Kim,4:34,2년 전
193,  나는무엇인가?,썸네일녀 왤케 승모근이 높냐 ...승모근 땜에 머리만 두둥실 떠다니는줄 알았누ㄹㅇ 데이브 바티스타 여자버전,2년 전
194,  Melody of music,3:43,2년 전
195,  이현주,4:00,2년 전
196,  베베,강소라떡대자체가달라졋는데,2년 전
197,  이경희,덕분입니다 감사합니다덕분입니다 하면덕볼일이생긴다네요 ~^^ 덕되는일들이많이있으시길바랍니다 ~^^ 멋진인생되세요 ~^^,2년 전
198,  김동현,일자목도 똑같이 목집어넣는운동을해도되는건가요?,2년 전
199,  Mr Smith,턱 뒤로 뺴는거 가이드라인 대로 계속 해보니깐 어깨쪽 승모근쪽이 문제라는 결론이 나옴. 상부 승모근부터 하부 승모근까지. 등쪽을 더 집중해서 공략하믄됨 ㅋㅋ. 존나 ㄱㅇㄷ인 영상이네요.. 운 존나 좋네 ㅋㅋㅋ,1년 전(수정됨)
200,  ‍고민지[학생](대학원 식품공학과),3:35,2년 전
201,  김동조,3:34,2년 전
202,  성희은,와씨 보겸인줄알았네,2년 전
203,  우쥬인,4:06,9개월 전
204,  김태원,은근히 bj보겸 닮았내,3년 전
205,  Love Shorts,3:35,1년 전
206,  Rare,선생님... 제발 손 좀... 가만히.집중을 방해합니다.,2년 전
207,  푸른은행잎,03:36,2년 전
208,  피망이,거북목일때가 더 육덕지고 섹시해보이는데 아쉽노,2년 전
209,  D iston,나오는 사람이 거북목이네,2년 전
210,  룰루,3:36,10개월 전
211,  양ᆞ,목이  두껍다,2년 전(수정됨)
212,  티베트인들이여 독립의그날까지힘내십시요,근데여...저 거북목이라고 올리신 강소라씨 사진중 거북목이라는사진이 일자목이라는사진보다 더 쌕쉬하게 느껴지는 전 왜그런건가여? 눈이 거북눈인가여?...^~,2년 전
213,  Michelle K, ,4년 전
214,  푸른은행잎,03:36,2년 전
215,  종순 조,나예요 냐 !!!,1년 전
216,  part han한,강소라는어케한거임 ㅜㅜ,2년 전
217,  J&K012,뒤에 고양이 치워라 ~~뭐냐~~ 불매운동은 제대로해야지더군다나 의사란너미 에구,2년 전
218,  타지마희쌤,ㅉ,2년 전
