,아이디,댓글 내용,댓글 시간
17,  SoYoung Y,이분 영상 짱!완전 좋아요꾸준하게 스트레칭했더니허리통증이 싹 없어졌어요~(이분 다른 영상도 다 좋음),3년 전(수정됨)
18,  happy _,최고에요... 이거 한지 일주일도 안됐는데 골반아픈게 많이 사라졌어요 대박,4년 전
19,  이다정,제가 골반 특히 왼쪽 엉덩이쪽과골반이 뭉쳐있어서 폼롤러 스트레칭해도 풀리지않았는데 정말 많이 풀렸어요 감사합니다 앞으로도 쭉 계속 보고 배울께요!,3년 전
20,  기억해냄,허리통증과 무픞이 아퍼서 하루 1시간정도  한것만으로도 즉각적으로 효과가 나타납니다.5일 하니까ㅣ 통증이 거의 사라졌어요.  엄청 힘들지만 효과 짱입니다.정말 고맙습니다.,3년 전
21,  Alex,진짜 감사해요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 골반스트레칭을 하니 허리 통증이 없어지네요... 매일 자주 해야겠어요ㅜㅜ,4년 전
22,  Kelly Kim,말씀도 재미있고 한번도 해보지 않는 스트레칭 인데 너무 시원하게 할수있어서  감사해요....,5년 전
23,  귀욤둥이,와....  골반 너무 아파요ㅠㅠ 그런데 또 시원해요..   고맙습니다,3년 전
24,  yachae,요가쌤 아름다우세요! 친절하게 가르쳐주셔서 감사합니다️,5년 전
25,  이천재,이 스트레칭도 진짜 시원해요★★★,5년 전
26,  남은생은행복한 삶,설명을 잘해주시네요~♡,5년 전
27,  nana,마지막에 완쌤이 자아가 단단하다고 하실 때 뜬금없이 반해버렸어요ㅋㅋㅋ완쌤은 더이상 영상 안 찍으시나요??ㅠㅠ완쌤 강의가 제일 좋은데...,4년 전
28,  엥tmi,와 진짜 핵시원해요 특히 마지막 다리 꼬는거 ㅠㅠ,4년 전
29,  킹냉,교정 스트레칭 영상 중에 이게 갑 오브 갑임 걍 동작알려주고 끝 이게 아니고 동작 하나하나 자세하게 설명해주고 하고나서도 제일 시원하고 통증도 줄어듬 ㄹㅇ,4년 전
30,  art,매번 느끼지만 동작설명으로 인해 제 동작을 다시 보게 되면서 도움이 많이 되요.정보 감솨해요~,2년 전
31,  임주환,우와 진짜 힘드네요  근데 힘든만큼 효과가 좋은거같아요. 감사합니다,4년 전
32,  H K,자세 완전 효과 좋아요 감사합니다 완트레이너님 매력 넘쳐요,4년 전
33,  유미희,"완선생님,  올려주신 강의  정말 도움 되고있는데,  새 스트레칭강의 부탁드려요",4년 전
34,  돈벌자돈벌어,남잡니다. 골반통증이 있어서 영상보고 스트레칭하는데 정말 감사해요. 진짜 골반풀리기 시작하네요,4년 전
35,  SK Park,완 선생님 최고! 허리 통증으로 고생하였는데....3 일 했는데도 통증이 많이 거의 없어지네요.,3년 전
36,  John terry,아 영상 보면서 스트레칭 하니 너무 재밋어서 시간이 훅 갔네요. 강사님 매력에 반하고 갑니다,4년 전
37,  째로로,진짜 너무 좋은 방송입니다!,4년 전
38,  찡긋,너무 시원하네요!!,4년 전
39,  박성원,진짜 너무 도움이 됬어요.정말.  감사해요,4년 전
40,  친일친중척살,"선생님 정말 유연하시네요,,,,존경,,,,ㅠ",4년 전
41,  신수진,제가 본 동영상 중 가장 최고네요감사합니다매일 자주자주 해줘야겠어요평생 아빠다리만 해와서 시간이 좀 걸리겠지만 꼭 해볼께요~,3년 전
42,  京花 lisa Han,감사합니다️,3년 전
43,  ajay che,편집 진짜 잘하시네요~~~강사님 개성이 팍팍 사네요~~,4년 전
44,  이수정,옆에서 수업받는거같아요ㅎ 넘좋은 시간이었습니다 감사해요   구독눌러요^^~,4년 전
45,  이루다,선생님을 옆에 두고 배우는 것 같아서 좋아요.,5년 전
46,  Himicen,"일주일에 3~4일 헬스클럽 가서 적당히 근력운동 하는 40대 남자입니다.언제부터인지 운동하면서 크고 작은 부상을 입는데 아무래도 유연성이 약해서 그런거 같습니다. 대부분의 평범한 중년남성들처럼 몸이 굉장히 뻣뻣한 편입니다.최근에는 골반, 고관절쪽이 아파서 스콰트 동작이 힘들더군요. 우연히 선생님 동영상을 접하고 스트레칭을 따라해 봤는데 어제 맨몸스콰트를 해보니 확실히 이전보다 아픈게 많이 나아졌습니다.궁금한게 있는데요.몇가지 스트레칭 동작들을 해보니 골반, 허리, 옆구리, 뒤쪽에 기립근까지 근육통이 느껴지는데 이 상태에서 계속 스트레칭을 따라해도 괜찮을까요?기분좋은 근육통같은 느낌인데 나이가 있다보니 운동을 하면서 제일 신경 쓰이는게 부상이라 근육통 무시하고 스트레칭 동작들을 따라해도 괜찮은건지 조심스럽네요.",5년 전
47,  juah yi,너무 시원합니다. 감사합니다,4년 전
48,  Moonju Molnar,"조금 따라해보니 교정이 되는거 같은 느낌이 드는데, 굉장히 힘이 드네요, 제가 골반이 많이 틀어졌나봐요",4년 전
49,  sodbab,와 너무너무 시원해요 진짜 ㄹ자 허리랑 골반아파서 고생인데 너무시원해요....근데 아픈부분도좀  있어서 걱정되네요 흑,5개월 전
50,  Hello O,대장 소장 뒤집어지고뼈가 부러지는 느낌들었는뎃 하고나니 트림나고엄청 시원하고 순환되는느낌나요~~~~목소리 넘 좋으셔요~~감사합니다,4년 전
51,  a s,알고는 있던 동작인데 엉망진창으로 한게 들통난 것 같아요. ㅎㅎ 그리고 W자세 너무 힘들어요.ㅜㅜ 꾸준히가 정답인것같아요! 구독완료~,4년 전
52,  D Y,마지막스트레칭 할 때에 무릎에 부담은 안가나요??,4년 전
53,  지청천,이분 다른건 몰라도 정말 공부를 많이 하신듯.,4년 전
54,  곽현주,진짜.잘배웠습니당,5년 전
55,  hi say,와 저 w자 앉지도 못했었는데 샘이 쿠션 깔아보래서 깔고 겨우 성공했어요 감사합니다,4년 전
56,  fever flower,골반관련동영상중에 이게 가장 효과가 좋은거같음,4년 전
57,  이삐,대박입니다 ㅎ,3년 전
58,  allan kwon,빠른배속 귀여우심 ㅋㅋㅋㅋㅋㅋㅋ영상 재밌고 짧게 편집해주셔서 고맙습니다 ㅎㅎ,4년 전
59,  Mh Mh,ㅋㅋㅋ저 빵터졌네요 아련..ㅋ 너무너무 유용해요 따봉!,5년 전
60,  hh jjj,너무 아파요T^T 그래도 하고나니까 골반이 너무 시원하네요ㅎㅎ,4년 전
61,  moss0408,"강사님 묘한 ~(?)매력있어요, 완전신선해요^^감사합니다.~",5년 전
62,  정성희,동작도 설명도 너무 좋아요그런데 쓸데없이 예능처럼 만들어 놓으셨네요빨리감기랑 잡설이 길면 보면서 운동하기 힘들어요,4년 전
63,  Seongil CHO,좋아요. 깊이 있는 교정시간이었습니다.  다른 영상은 없나요?,2년 전
64,  이한별,남자들도 w자세가 될때까지 반복해서 연습해도 괜찮나요? 많이 아프네요 ㅠㅠ,5년 전
65,  pro choi,선생님 감사합니다 감사합니다,4년 전
66,  max5,수많은 교정자세 중에 쉽고 실용적이네요,4년 전
67,  bb bb,사랑합니다선생님  w스트레칭말고 두번째 ㄹ자 스트레칭할때 왼쪽방향으로틀어진골반은  왼쪽무릎을정면에 놓고 하는거맞죠??,4년 전
68,  한바다,"꿀팁이 정말 유용합니다 45도로 내려가던 옆구리, 90도로  교정 많이 되었음다. 다만 수년전 참선하다 우측고관절통 걸려 양반다리 잘못함.억지로 참고 골반스트레칭 할순있지만 후유증이나 악화되진 않을런지요. . .X-선 이상없고요. . .답이 없네요",5년 전
69,  카르페디엠,왼쪽골반이 틀어져서 그런지 힘드네요. 열심히 하면 좋아지겠죠.,5년 전
70,  [PCA-2TV] omunia,어려운게 쉽게 되는 신체를 가진분이라 독자들의 90%는 불가능한 자세네요!,2년 전(수정됨)
71,  고윤희,마지막 동작 ㅠㅠ 역대급,1년 전
72,  권나현,골반 스트레칭 특히 w자 다리 할때 무릎 옆에가 아픈데  (몸 안쪽 방향) 자세가 잘못된건가요??,4년 전
73,  Hoon Choi,따라하다가 저도 모르게 소리질렀네요;;감사합니다!!,3년 전
74,  Myung Hayes,"안녕하세요? 계속 허리가 아파 이 운동을 시작하니 허리가 금방 나아진듯한데요, 며칠 하고 계속 하려는데 왼쪽 무릎이 뻐근 하네요. 동작이 더 쉬워 지는 것이 아니라 조금은 더 힘든데 혹시 넘 무리 해서 그런 것은 아닌지요. 50대 갱년기 주부 입니다. 조언 부탁 해요.",5년 전
75,  qnfrdnms yudmlwn,이분 되게 맘에 드네 목소리 얼굴 가르침. 영상도 빨리빨리 반복은 빨리감기 시원시원. 알맹인 자세히 가르치고 보여주고 다음은 참고하라고  빨리감기. 시원시원,3년 전(수정됨)
76,  Dark Knight Rises_ Batman,"완선생 매력있는 4차원 쌤이며 솔직하고 아는것도많고 동작보여주다 아프면 아 ~~아퍼하며  솔직함과 털털함 그러면서도 한미모에 한능력 하는 도시미녀 스탈일의 출중한 인재이며 능력,인기 넘쳤는데 어디가셨나 ??아무소속아닌 집에서 가정용 몸관리 방송해도 팬들 찾아들텐데 ..세월흘러도 산수는 그대로인데 알던 인걸이 있을곳에 없으니맘 갈때가 없구나 .",1년 전(수정됨)
77,  뜨개질고양이,선생님 너무 귀엽네요. w자세 엄청 좋은거 같아요. 자주 할께요,4년 전
78,  이다인,ㅋㅋㅋ선생님 매력있으시네요 색다른 동작많아서 재밋게 봤습니다,5년 전
79,  초코칩쿡희,이분꺼 짱임 ㅠㅠ 급 생각나서 몇년만에 간신히 찾아옴 ㅠㅠㅋ,2년 전
80,  윤성진,오늘 처음 입니다. 제가 허리를 삐끗해서 요 몇칠 꼼짝을 못하네요. 영상이 많은도움이 될것 같아요. 감사^^ (  정말 예쁘십니다. 완전이상형)ㅋㅋ,4년 전
81,  서인태,여기저기 동영상 보다가 강사님 예뻐서 여기서 정착해서 보게 되네요ㅋ설명도 되게 쏙쏙 들어와요 근데 약간 강사님이 4차원같은 느낌이 있어요 ㅎㅎ,3년 전
82,  최성진2,ㅋㅋㅋㅋ 으악 이 언니 너무 귀여우셔요 약간 멍~하면서도 근데 동작은...ㅠㅠ 힘드네요 그래도 열심히 따라할께요,4년 전
83,  park,굉장히 자세하시네요 좋은 영상감사합니다 질문이 있는데요 W자세는 무릎이 살짝 불편하지만 그래도  할만한 편인데 3분 50초에 하는 옆으로 내려가는동작있잖아요 내려갈때 골반도 당기긴하지만  무릎이 더 당기고 아픈데 계속해도 되는지요?,5년 전(수정됨)
84,  ᄅᄀᄂᄃ,이 자세할때 무릎이 아픈데 제대로 되는거ㅖ요?,4년 전
85,  유hy,진짜 너무 아프다...하지만 교정되어가고있는 느낌,2년 전
86,  _ Angel,동작은 따라하지않는 타잎이나 이분 완선생 참 매력있고 사랑스럽고 이쁜 스퇄이다 .,2년 전
87,  J,와!!!효과직ㅁ방,4년 전
88,  jh k,편집너무웃겨요ㅋㅋㅋㅋㅋㄱ맨날보면서 해야겠당,5년 전
89,  박동선,척추협착증 환자도 스트레칭 가능하나요,4년 전
90,  startup st,우아 우연히 본 영상인데 골만 가동범위가 후덜덜이시네요. 대단하심. 근데 뭔가 카리스마 있으면서 먼가 멜랑꼴리 같은  정서가 ㅋㅋ 독특한 매력이 있으신분이시네 ㅋㅋㅋㅋ,4년 전
91,  광철오빠내뀨얌,선생님 !!! 선생님과 같은 수준의 강사님에게 받고 싶은데(헬스트레이너 샘이신가요?필라테스강사님은 아니시져?) ㅜㅜ 부산에 혹시 센터나 추천해주실수 잇나요ㅠㅠㅠ 너무너무 많아서..,4년 전
92,  뷰르가즘,선생님 W자세한상태에서 눞혔다올렸다하는동작할때요갑자기 무릎이다쳤는지  지금  너무아파요어떻게해야되나요 ㅠ,2년 전
93,  훗랄랄라,어떡해요ㅜㅜ  W ㅠㅠ.. 심각함.. 맨날해야겠어요 되는 그날까지!!!!,4년 전(수정됨)
94,  calming 4u,"잠시머물며 영상 잘보고 갑니다,편안한밤 되세요",2년 전
95,  윤희정,동영상 내용은 알차고 좋은데 댄스타임 하고 빨리감기만 없으면 완벽할것 같아요.재편집본 올려주셨음 좋겠어요,2년 전(수정됨)
96,  박재균,그러니까 완전체를 보는거랑 내가할때랑 달라서 힘이 너무 많이 드네요  강사님은 요가 해도 가능하지만 전 마네킹이라  안되요,5년 전
97,  임채원,워후 w자세 발목을 쭉펴서뒤로하면 되는데 발끝을 양옆쪽을 향하게하니까 힘드네요,5년 전(수정됨)
98,  arcyoon,사무실 의자에서 할 수 있는 스트레칭도 있을까요?,1년 전
99,  해피 엔드,좋은 동작들  ~~영상을 좀 더 천천히 같이 할 수 있게 하며 더 좋을듯...,2년 전(수정됨)
100,  고양이를 찾아라 골골531프로젝트,이분 너무 웃겨요....ㅎㅎ 잘 봤습니다. ㅎㅎ,4년 전
101,  로스수크랄,뭐야 이분 너무 좋아.. 자아 얘기 더듣고싶은데 끊겼다,4년 전
102,  금빛연꽃,선생님도 좋으시고 자세도 정말 좋고 신선한데 편집이 너무 아쉽네요 왜 스트레칭 영상을 굳이 빨리감기를 하시고 댄스타임은 왜 넣으신걸까요........,4년 전
103,  부정보다는긍정,와나 너무 아파서 웃음밖에 안나오네..,5년 전
104,  A,"안녕하십니까 전 남잔데요. 골반 워밍업 후 좌골이 바닥에 붙은 상태로 w자 자세가 비스무리 나오기는 하는데, 무릎이 선생님처럼 서로 붙지않고 쫙 벌어지네요. 남자는 원래 그런건가요?",5년 전
105,  Vinchae Kim,사랑함니다ㅠㅠ,4년 전
106,  CHOII 초이,진짜 시원해요 ㅠ  근데 영상 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ꿀잼,4년 전
107,  sy,골반이라는 것은.... (카메라도 아련)ㅋㅋㅋ 좋은 영상 감사요,4년 전
108,  진우 신,"여기 저기 골반교정과 관련한 약 오십여개의 동영상을 봤는데, DNV가 단연 최고다!!! 차이점은 무엇보다 실체적이다. 다른 동영상은 하나마나한 추상적인 이야기라 공감이 가지 않는다. 그래서 따라하고 싶은 생각이 들지 않는다. 반면 이쪽은 따라하게끔 만든다.",3개월 전
109,  고병규,내게 꼭필요한 골반교정~,4년 전
110,  카트일공일삼,맘에와닿는다,4년 전
111,  짐쑤,"편집이왜이럴까요ㅜㅜ따라하고싶은데 따라할수가없게하네요 중간에 춤이랑 빨리돌리기같은것보다 같이 따라할수있는 실시간 설명과 차근차근한 편집이 필요하네요. 춤추는거보고싶은게아니에요, 골반교정 스트레칭이하고픈겁니다",4년 전
112,  혜지,영상 다 따라하고 누우면 허리가 아픈데 자세가 잘못 된 걸까요?,4년 전
113,  どこでも扉人,저 상남자 입니다질문 하나 하겠습니다.정중하게 남자도 w자세 저렇게 앉아지는게 확실합니까...?! 너무 아픕니다. 무릎이 저렇게 붙은 상태에서 앉아져야 완변한겁니까? ㅠㅠ 허벅지가 굵어서 잘 안붙는데 ㅠㅠ,4년 전(수정됨)
114,  박까멜,보고하는데 오른쪽 햄스트링이 많이땡기네요 계속 해도될까요 ?,4년 전
115,  weekend,W자 자세하면 무릎이 아픈데 맞게 하는 건가요?,5년 전
116,  원기강,우와우 좋았어...,4년 전
117,  조애리,더블유에서 들어주는데 무릎이 아픈건왜그래여?ㅠㅠ 발목도아픈데 ㅠ,4년 전
118,  보누스컴퍼니,"빨리 돌리기 하지 마세요ㅠㅠ같이 운동하는데, 왜그러세요",4년 전
119,  케첩,x다리인데 w자세 해도 되나요?,4년 전
120,  김수진,두시간동안 요가 골반 스트레칭 동영상 찾다가 자기직전 발견하여 한시간을 봅니다 가르침을 받고싶습니다 어디로갈까요,3년 전(수정됨)
121,  Lega Vous,ㅋㅋ 골반이라는것은ㅋㅋㄱ틀어져요 쌤 ㅋㅋ웃겨요,4년 전
122,  Gyujin Yang,원본있으시면 다시 편집해서 올려주시면 안될까요? 진짜 내용은 좋은데 매번 편집때문에 따로 빨리돌리고 멈추고 하게 되요 시간 맞추어 할 수 있게 끔 다시 편집본이 올라오면 정말 감사할것 같아요.,3년 전
123,  강원옥,열심히.힘내서.하이팅해요,5년 전
124,  J Lee,무릎이 바닥에 닿지가 않네요.제 몸이 너무 뻣뻣한거 같아요,2년 전
125,  kow k,바로 통증이 없어졌어요,3년 전
126,  썸타는고양이,왠지 빠져드는 코치님이네요 ㅎㅎ,4년 전
127,  삼겹살,오른쪽 허리랑 골반이 안 좋아서 지금 따라하고 있는 학생인데 처음 동작부터 오른쪽 골반 땀시 막힘......운동하다가 내 무릎이 깨질 거 같은데????옛날에는 W자 됐었는데 지금 안되는 걸 보니 골반이 많이 틀어졌구나 싶음......,3년 전
128,  콜롬비아 암염에너지,지금 하시는 동작 안됩니다.. 문제가 심각 합니다 !,3년 전
129,  집에서안나와,여자분 너무매력있다ㅋㅋㅋ,4년 전
130,  leah,트레이너님은 정말 좋고 운동도 맘에 드는데 편집이 정말.. 홈트 한번도 안해보셨나봐요; 이런편집이 어딨는지;,4년 전
131,  GUK M,남자도 w다리 할수 있나요?,4년 전
132,  이럴줄알았지,남자도 가능한 골반스트레칭 인가요?? ㄷㄷㄷ.....,4년 전
133,  ไทย จอง,"L자 자세부터 살체를 세우지를 못하겠어요.저는 62세 태국 거주하고 척추 측만과 후만, 척추관협착증, 섬유근육통으로 싸우고 있습니다.태국에 거주하고 있어서 혼자 따라하는데 너무 힘들어요. 상체를 아떻게해야 세울 수 있나요?부턱드립니다.감사합니다.",3년 전
134,  BoracayHancho Corporation,그냥 유연성훈련...,3년 전
135,  따봉도치,w자세 부터 안되요 ㅠㅠ 연습해서 다시올께요,4년 전
136,  우하하하,ㅋㅋㅋ 유연성이 초딩때부터 -라서 안됀다 ;ㅁ;유연성 조금이라도 개선할려고 앞으로 숙여서 손 끝으로 발 다이게 하는거 1개월은 해야 겨우 다이고..1주일 쉬면 다시 원상복구 돼는 깡통 로봇인 나는 어떻게 하면 됄까..,4년 전
137,  chang bae,아빠다리가 되는데 w자세가 안되요.. 배개깔고 해도 안되는데 어떡하죠..,4년 전
138,  wpdudal,진짜 예쁘다,2년 전
139,  jj j,크으... 너무 아프당,3년 전
140,  Jonathan Mu,예쁘시다. 감사해요,5년 전
141,  BOOMBOOM,스텝2부터 막히네요 ㅠㅠ,3년 전
142,  한바다,너무 아파요ㅠㅠ,5년 전
143,  Traveller World,양반다리 자세는 잘 되는데 왜 W 자세는 안 될까요... 남자라서 그런가요 --;;,5년 전
144,  on m,동안이시네요 귀여우세요이모,2년 전
145,  gksl kim,왜 자꾸 울것같지ㅋㅋㅋㅋㅋ목소리가ㅋㅋㅋㄱㄲ특이하시다,1년 전
146,  조애리,헐. 더블유자세 아예안되여 그리고 통증 미치겟어여...넘 아파,4년 전
147,  뽕남이,오 굿,3년 전
148,  big daddy,"아니 중간에 왜 상황극이야., 웃어버렸어",5년 전
149,  강연주,이쁘시다~,4년 전
150,  한바다,빨리 돌리기 하지마셈샘 유도없인 못해요,5년 전
151,  하디,완선생님! 다른데로 이직하셨나요?,4년 전
152,  콜롬비아 암염에너지,어디로 찾아뵙고 상담을 하나요.. 원장님 ! 도와주세요... 매일매일 고통입니다..,3년 전
153,  말랑젤리탄,찾았다 내가 이쌤 영상찾으려고 1년 헤맴,3년 전
154,  세희,4:05  골반이라는 것은.....ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ카메라 아련ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄲㅋㅋㅋㅋㅋㅋㅋ,4년 전
155,  정우주,언니 어디갔어요?,6개월 전
156,  이한,왜아무것도안되죸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌㅌ......,5년 전
157,  soprahk Kim,제겐 비현실적ㅠㅠ,2년 전
158,  K!!,W자세 그냥 안돼.......아파ㅇ...,3년 전
159,  비요뜨먹고싶다,스트레칭은  정말 유용한데 편집이 아쉽네요 웃기려고 하려는건지 모르겠는데 스트레칭 잘라먹고 왜 굳이 이런 편집을 집어넣었는지...ㅋㅋ,4년 전
160,  아지트당구클럽 ,완샘 어디가셨어요?,2년 전
161,  손현승,그냥 따라 하게 되요  선생님이 이뻐서,4년 전
162,  heeman,완선생님.어디계시나요ㅠ?,1년 전
163,  김우연틀니,w자세는 남자는 불가능 아닌가요?,2년 전(수정됨)
164,  Juhee Kim,아 보다가 너무 슬프다,4년 전
165,  M G,스트레칭강의 유익했고 잘봤는데 편집에 문제가있어 이의제기 합니다. 쓸데없는 눈요깃거리인 댄스타임은 굳이 편집을해서 넣고 반대편 스트레칭은빨리감기를 하셨는데 이동영상은 재밌자고 올린게 아니라 스트레칭을 가르쳐주려고 만드신거 아닌가요? 빨리감기자제해주세요 감사합니다.,5년 전
166,  s jw1,넘 빡세서 따라할 엄두가;;남자용거 읍나;;;,4년 전
167,  최일섭,장요근!,5년 전
168,  Lite FEEL,누나 나죽어... ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ돌아와주세요,2년 전
169,  어이쿠,이게 가능한 사람 손들어봐요 ㅡㅡ,2년 전
170,  Jo Ha ra,남자분꺼따라했더니 제가잘못하고있었네요 ㅡㅡ,3년 전
171,  Shirly Anai uwu,Omg :v,3년 전
172,  갱근,커피 좋아하시나 보넹,4년 전
173,  weekend,0:45,2년 전
174,  양재균,남자안됨.....,4년 전
175,  MDSU MDSU,골반교정운동 영상 랜덤으로 보다 이게 운동영상이냐 싶음 ㅡㅡ  아님 새로운 방식에 운동영상을 제시하고 계시거나 암튼 난 불호임,3년 전
176,  눈누난나,따라 하는데 쓸데 없는 장면들이 너무 많네요 갑자기 빨기 감기 해버리면 어떻게 따라 하라는건지...,2년 전
177,  B Kim,동작들은 참 좋은데 프로답지 못한 말투와 잡소리들이 너무 많아 보다 껐어요. 저런 인스트럭터눈 첨 보네요,3년 전
178,  star light,내용은 좋은데 편집 빼주세요,2년 전
179,  마스터지그,가슴이 훌륭하시네요,4년 전
